TCID,Title,Trace,Priority,Type,Objective,Pre-condition,Test Data,Step #,Action,Expected Result
TC-17-05,SLA Warm Lead — assign ก่อนเวลา 09:00 ต้องเริ่มนับที่ 09:00,03-12 (Warm Lead),P1,Boundary,ยืนยันว่ากรณี Warm Lead ที่ถูก assign ก่อน 09:00 ระบบเริ่มนับ SLA ที่ 09:00 ของวันเดียวกัน,มี LC พร้อมรับ Lead; Lead เป็น Warm (ไม่ระบุช่วงเวลาติดต่อ); ระบบเวลาตั้งถูกต้อง,"Lead Warm, เวลา assign = 07:00 ของวันทำการ",1,สร้าง Lead Warm (ไม่กรอกช่วงเวลาให้ติดต่อกลับ) ให้ระบบ assign เวลา 07:00,"Lead ถูก assign ให้ LC, Lead Scoring = Warm"
TC-17-05,,,,,,,,2,ตรวจค่า SLA Start Time ของ Lead,SLA Start = 09:00 ของวันเดียวกัน (ไม่ใช่ 07:00)
TC-17-05,,,,,,,,3,ปล่อยให้ LC บันทึกผลเวลา 08:30 ของวันถัดไป (ภายใน 24 ชม. นับจาก 09:00),ถือว่าอยู่ใน SLA (ผ่าน) เพราะ deadline = 09:00 วันถัดไป
TC-17-05,,,,,,,,4,ทดสอบซ้ำโดย LC บันทึกผลเวลา 09:30 วันถัดไป,เกิน SLA → ระบบดึง Lead คืนเพื่อ Re-assign ตาม 03-08
TC-17-06,SLA Warm Lead — assign หลัง 18:00 เริ่มนับ 09:00 วันถัดไป,03-12 (Warm Lead),P1,Boundary,ยืนยันว่ากรณี Warm Lead ที่ถูก assign หลัง 18:00 ระบบเริ่มนับ SLA ที่ 09:00 ของวันถัดไป,มี LC พร้อมรับ Lead; Lead เป็น Warm,"Lead Warm, เวลา assign = 19:00",1,สร้าง Lead Warm ให้ระบบ assign เวลา 19:00,"Lead ถูก assign, Scoring = Warm"
TC-17-06,,,,,,,,2,ตรวจค่า SLA Start Time,SLA Start = 09:00 ของวันถัดไป
TC-17-06,,,,,,,,3,LC บันทึกผลเวลา 08:00 ของวันถัดถัดไป (ภายใน 24 ชม.),อยู่ใน SLA (ผ่าน)
TC-17-06,,,,,,,,4,ทดสอบกรณี LC ไม่บันทึกจนเกิน 09:00 วันถัดถัดไป,เกิน SLA → ดึง Lead คืน Re-assign
TC-17-02,SLA Hot Lead — เกิน 24 ชม. ต้องดึง Lead คืน,03-12 (Hot Lead),P1,Boundary,ยืนยันว่ากรณี Hot Lead เมื่อ LC ไม่บันทึกผลภายใน 24 ชม. นับจากเวลานัด ระบบดึง Lead คืน,มี LC; Lead เป็น Hot (ระบุช่วงเวลาติดต่อกลับ),"Lead Hot, ช่วงเวลานัด = 13:00 ของวันที่ 1",1,สร้าง Lead Hot ระบุช่วงเวลาติดต่อ 13:00,"Scoring = Hot, SLA นับจาก 13:00 D1"
TC-17-02,,,,,,,,2,ปล่อยให้ LC ไม่บันทึกผลจนถึง 14:00 ของวันที่ 2 (เกิน 24 ชม.),เกิน SLA
