Issue Type,Summary,Priority,Component,Fix Version,Labels,Description
Test,TC-01-01 ดึง Customer Daily สำเร็จ,Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1
*Type:* Positive

*Pre-condition:*
มีข้อมูลใน CIS/DW

*Test Steps:*
รอ batch 23:00 หรือ trigger ดึงข้อมูล

*Expected Result:*
ข้อมูล Customer ถูก Insert/Update เข้า MCMP ครบ (Inforce + ไม่ Inforce, ทุกแบบประกัน)

*Test Data:*
Customer ปกติ"
Test,TC-01-02 Update ข้อมูลที่เปลี่ยนแปลง (ไม่สร้างซ้ำ),Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1
*Type:* Positive

*Pre-condition:*
Customer เดิมมีในระบบ + ต้นทางแก้ไข

*Test Steps:*
1. แก้ข้อมูล Customer ที่ต้นทาง
2. รัน batch

*Expected Result:*
ระเบียนเดิมถูก Update ไม่เกิด record ซ้ำ

*Test Data:*
Customer เดิม + แก้ไข"
Test,TC-01-03 ดึง Contact Center / FB Inbox Realtime,High,TS-01,Lot 3,"Lot3,TS-01,Positive","*Lot:* 3
*Trace:* 01-1-(2)
*Type:* Positive

*Pre-condition:*
มี case ใหม่ใน NBS

*Test Steps:*
สร้าง case ใหม่ใน NBS

*Expected Result:*
ข้อมูลเข้า MCMP แบบ Realtime

*Test Data:*
"
Test,TC-01-04 ตัวแทน OSSS อัปเดต Near-realtime,High,TS-01,Lot 2,"Lot2,TS-01,Positive","*Lot:* 2
*Trace:* 01-1-(5)
*Type:* Positive

*Pre-condition:*
OSSS มีการแก้ไขข้อมูล

*Test Steps:*
แก้คุณวุฒิ/ตำแหน่งใน OSSS

*Expected Result:*
MCMP อัปเดตตามอัตโนมัติ

*Test Data:*
"
Test,TC-01-05 ดึงข้อมูลไม่สำเร็จ → ไป 01-4,Highest,TS-01,Lot 1,"Lot1,TS-01,Negative","*Lot:* 1
*Trace:* 01-2
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
ทำให้ source ล่ม/ไฟล์เสีย แล้วรัน batch

*Expected Result:*
ระบบจับ error ข้ามไปขั้นแจ้งผล ไม่บันทึกข้อมูลผิด

*Test Data:*
"
Test,TC-01-06 ดึงสำเร็จ → จัดเก็บ + แจ้งผล,Highest,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-2/01-3
*Type:* Positive

*Pre-condition:*
source ปกติ

*Test Steps:*
รัน batch

*Expected Result:*
บันทึกลงระบบส่วนกลาง + ส่ง Automail สำเร็จ

*Test Data:*
"
Test,TC-01-07 Automail แจ้งผลสำเร็จ 08:00,High,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-4
*Type:* Positive

*Pre-condition:*
batch เสร็จ

*Test Steps:*
ตรวจเวลา/ผู้รับ/Template

*Expected Result:*
อีเมลส่งถึงฝ่ายการตลาด 08:00 ตาม Template_Marketing Campaign

*Test Data:*
"
Test,TC-01-08 ไม่พบไฟล์ใน Path → Automail 09:00,High,TS-01,Lot 1,"Lot1,TS-01,Negative","*Lot:* 1
*Trace:* 01-0-(5)
*Type:* Negative

*Pre-condition:*
-

*Test Steps:*
ลบไฟล์ออกจาก Path แล้วรัน batch

*Expected Result:*
ส่ง Automail แจ้งฝ่ายที่เกี่ยวข้อง 09:00

*Test Data:*
"
Test,TC-01-09 ดึง RFM แบบ Manual,High,TS-01,Lot 1,"Lot1,TS-01,Positive","*Lot:* 1
*Trace:* 01-1-(6)
*Type:* Positive

*Pre-condition:*
มีไฟล์ RFM

*Test Steps:*
กดปุ่มประมวลผลบนหน้าจอ

*Expected Result:*
ข้อมูล RFM ถูกนำเข้า

*Test Data:*
RFM Actuary"
Test,TC-02-01 Upload csv ถูกต้อง,Highest,TS-02,Lot 3,"Lot3,TS-02,Positive","*Lot:* 3
*Trace:* 01-5
*Type:* Positive

*Pre-condition:*
ไฟล์ csv 4MB column ครบ

*Test Steps:*
Upload ผ่าน UI

*Expected Result:*
นำเข้าสำเร็จ ไป 01-3

*Test Data:*
csv 4MB ถูกต้อง"
