Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-SEC-01-001,Group RI (GRP),Negative/Security Testing,Login,Authentication / Brute Force,"Login form","ตรวจ rate limit / lockout หลังพยายาม login ผิด N ครั้ง","1) ใส่ username ถูก + password ผิด 5 ครั้งติด
2) ลองครั้งที่ 6","Account locked หรือ CAPTCHA แสดง; ไม่อนุญาตให้พยายามต่อ",Wrong credentials,High,,,,,Brute force protection
TC-SEC-01-002,Group RI (GRP),Negative/Security Testing,Login,Authentication / SQL Injection,"Login form","ตรวจ SQL injection ใน login field","1) Username = admin' OR '1'='1
2) Password = anything","Login fails; ระบบไม่หลุดเข้า; SQL error ไม่แสดงให้ user เห็น","SQLi payload",High,,,,,SQLi
TC-SEC-01-003,Group RI (GRP),Negative/Security Testing,Login,Authentication / XSS,"Login form","ตรวจ XSS ใน input field","Username = <script>alert(1)</script>","ไม่ execute script; แสดง escaped หรือ rejected","XSS payload",High,,,,,XSS
TC-SEC-01-004,Group RI (GRP),Negative/Security Testing,All Screens,Authentication / Session Timeout,"Logged-in session","Session ต้อง timeout หลัง idle X นาที (per policy)","1) Login
2) ไม่ทำอะไร X+1 นาที
3) ลอง action ใด ๆ","Redirect to login; session invalid","Idle session",High,,,,,Session timeout
TC-SEC-01-005,Group RI (GRP),Negative/Security Testing,All Screens,Authentication / Concurrent Session,"User logged in browser A","Login same user browser B","Login A; Login B same user","Per policy: A invalidated หรือ both allowed (audit log)","Concurrent login",Medium,,,,,Session policy
TC-SEC-01-006,Group RI (GRP),Negative/Security Testing,All Screens,Authentication / Session Fixation,"Pre-set session ID","ตรวจว่า session ID เปลี่ยนหลัง login","1) Get session ID before login
2) Login
3) Compare session ID","Session ID เปลี่ยนหลัง login","Session fixation",High,,,,,Fixation
TC-SEC-01-007,Group RI (GRP),Negative/Security Testing,All API Endpoints,Authentication / Token Theft,"JWT/session token","Token cannot be reused after logout","1) Login; get token
2) Logout
3) Use old token","Token invalid; 401 Unauthorized",N/A,High,,,,,Logout invalidate
TC-SEC-02-001,Group RI (GRP),Negative/Security Testing,All Screens,Authorization / IDOR,"Read-only user logged in","User cannot access admin URLs by guessing","1) Login as read-only user
2) Manually navigate to /admin/config","403 Forbidden; not silently allowed",Read-only user,High,,,,,IDOR critical
TC-SEC-02-002,Group RI (GRP),Negative/Security Testing,Master Configuration,Authorization / Privilege Escalation,"Maker user","Maker tries to approve own change","1) Maker submits config change
2) Same Maker tries to approve","Blocked: cannot self-approve",Maker self-approve,High,,,,,4-eyes critical
TC-SEC-02-003,Group RI (GRP),Negative/Security Testing,Master Configuration,Authorization / Non-Maker Edit,"Regular user (not Maker)","Cannot edit configuration","Login as User RI (not Maker); try Edit","Edit disabled or 403",User RI not Maker,High,,,,,Authz
TC-SEC-02-004,Group RI (GRP),Negative/Security Testing,Process Estimate/Actual,Authorization / Auditor Access,"Auditor role","Auditor can view but not modify","Login as Auditor; try modify","Read-only access enforced",Auditor user,High,,,,,Role-based
TC-SEC-02-005,Group RI (GRP),Negative/Security Testing,EDW Send,Authorization / Send to EDW,"Only authorized user can send EDW","Per BRD: User RI authorized","Login as non-RI user; try send EDW","Send button disabled or 403","Non-RI user",High,,,,,EDW send
TC-SEC-02-006,Group RI (GRP),Negative/Security Testing,Upload Screens,Authorization / Upload,"Read-only user; Unname Policy/Investigation Expense upload","Cannot upload","Login as read-only; check upload button","Disabled","Read-only",High,,,,,Upload authz
TC-SEC-03-001,Group RI (GRP),Negative/Security Testing,Upload Screens,Input Validation / File Type,"Unname Policy upload","Reject non-CSV file","Upload .exe disguised as .csv","Rejected; error message; no execution","Malicious file",High,,,,,File type
TC-SEC-03-002,Group RI (GRP),Negative/Security Testing,Upload Screens,Input Validation / File Size,"Very large file","Reject files > X MB","Upload 1GB file","Rejected with size limit error","Large file",High,,,,,DoS prevention
TC-SEC-03-003,Group RI (GRP),Negative/Security Testing,Upload Screens,Input Validation / Path Traversal,"Filename with path traversal","Reject ../../etc/passwd style filenames","Upload file named ../../sensitive.csv","Filename sanitized or rejected","Path traversal",High,,,,,Path traversal
TC-SEC-03-004,Group RI (GRP),Negative/Security Testing,Upload Screens,Input Validation / Embedded Malware,"CSV with formula injection","Reject =CMD()/=cmd /c... in CSV cells","CSV cell = =cmd|'/c calc'!A1","Cell sanitized; opens as text not formula","Formula injection",High,,,,,CSV injection critical
TC-SEC-03-005,Group RI (GRP),Negative/Security Testing,Upload Screens,Input Validation / ZIP Bomb,"Compressed file","Reject malicious archive","Upload zip bomb","Rejected after extract size threshold","Zip bomb",Medium,,,,,DoS
TC-SEC-04-001,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / SQL Injection,"Search by PolicyNo","SQL injection in search","Search = ' OR 1=1 --","Returns nothing or sanitized; no SQL error","SQLi",High,,,,,SQLi
TC-SEC-04-002,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / NoSQL Injection,"If NoSQL used","NoSQL injection","Input = {""$gt"":""""}","Sanitized",NoSQL inj,Medium,,,,,NoSQL
TC-SEC-04-003,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / Command Injection,"Any field stored or executed","Command injection","Input = test; rm -rf /","Sanitized; not executed","Command inj",High,,,,,Command inj
TC-SEC-04-004,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / LDAP Injection,"If LDAP auth","LDAP injection","Input = *)(uid=*","Sanitized",LDAP inj,Medium,,,,,LDAP
TC-SEC-04-005,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / XSS Stored,"Comments/notes field","Stored XSS","Input = <img src=x onerror=alert(1)>","Sanitized when displayed",Stored XSS,High,,,,,XSS stored
TC-SEC-04-006,Group RI (GRP),Negative/Security Testing,URL Parameters,Input Validation / XSS Reflected,"URL parameter","Reflected XSS","URL = ?q=<script>alert(1)</script>","Sanitized in response",Reflected XSS,High,,,,,XSS reflected
TC-SEC-04-007,Group RI (GRP),Negative/Security Testing,All Forms,CSRF Protection,"Anti-CSRF token","Reject cross-site form submission","Submit form from external site","Rejected without valid CSRF token",CSRF attack,High,,,,,CSRF
TC-SEC-04-008,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / Length,"Boundary length","Reject oversized input","Input 10MB string in PolicyName","Rejected with length error",Long input,Medium,,,,,Length
TC-SEC-04-009,Group RI (GRP),Negative/Security Testing,All Input Fields,Input Validation / Special Chars,"Special chars handling","Sanitize but preserve Thai","Input with <>&""'/\","Stored safe; displayed safe",Special chars,Medium,,,,,Char encoding
TC-SEC-05-001,Group RI (GRP),Negative/Security Testing,All Screens,Sensitive Data / TaxID Display,"Member with TaxID","TaxID masking for non-privileged users","Login as read-only; view member","TaxID masked (e.g., XXXXX67890)",Read-only TaxID,High,,,,,PII protection
TC-SEC-05-002,Group RI (GRP),Negative/Security Testing,All Screens,Sensitive Data / DOB Display,"Member DOB","DOB display per role","View member as non-privileged","DOB partially masked or hidden",DOB,Medium,,,,,PII
TC-SEC-05-003,Group RI (GRP),Negative/Security Testing,Claim Cause,Sensitive Data / Medical Cause,"Claim cause (medical condition)","Limit who can see","View claim as non-medical role","Claim cause masked or restricted",Medical PII,High,,,,,Medical PII
TC-SEC-05-004,Group RI (GRP),Negative/Security Testing,EDW Send,Sensitive Data / In-Transit Encryption,"EDW data transfer","TLS required","Capture network during send","TLS 1.2+ used; no plaintext",N/A,High,,,,,TLS
TC-SEC-05-005,Group RI (GRP),Negative/Security Testing,Database,Sensitive Data / At-Rest Encryption,"DB sensitive columns","Encrypted at rest","Inspect DB","Sensitive columns encrypted",N/A,High,,,,,Encryption
TC-SEC-05-006,Group RI (GRP),Negative/Security Testing,Export Files,Sensitive Data / File Encryption,"Exported CSV with member data","File encryption or password protection","Export; check file","Encrypted or pwd-protected",N/A,Medium,,,,,Export encryption
TC-SEC-05-007,Group RI (GRP),Negative/Security Testing,Logs,Sensitive Data / Log Masking,"Application logs","No PII in logs","Trigger errors; check logs","TaxID/DOB/Name masked in logs",N/A,High,,,,,Log masking
TC-SEC-06-001,Group RI (GRP),Negative/Security Testing,All API Endpoints,API Security / Rate Limiting,"Same client","Rate limit per endpoint","Make 1000 requests/sec","Rate limited; 429 Too Many Requests",N/A,High,,,,,Rate limit
TC-SEC-06-002,Group RI (GRP),Negative/Security Testing,All API Endpoints,API Security / Method Tampering,"GET endpoint","Reject other methods","POST/PUT/DELETE to GET endpoint","405 Method Not Allowed",N/A,Medium,,,,,Method
TC-SEC-06-003,Group RI (GRP),Negative/Security Testing,All API Endpoints,API Security / Verbose Errors,"Trigger error","No stack trace leaked","Send malformed request","Generic error message; no stack trace",N/A,High,,,,,Info disclosure
TC-SEC-06-004,Group RI (GRP),Negative/Security Testing,All API Endpoints,API Security / HTTP Method Override,"Override headers","Reject method override","X-HTTP-Method-Override: DELETE on GET","Rejected",N/A,Medium,,,,,Override
TC-SEC-06-005,Group RI (GRP),Negative/Security Testing,Server Headers,API Security / Headers,"Response headers","Security headers present","Inspect response","Strict-Transport-Security, X-Content-Type-Options, X-Frame-Options, CSP",N/A,High,,,,,Headers
TC-SEC-07-001,Group RI (GRP),Negative/Security Testing,Master Configuration,Business Logic / Negative Value,"Configuration value","Reject negative percentage","Set cession% = -10%","Rejected with validation error",Negative value,High,,,,,Business validation
TC-SEC-07-002,Group RI (GRP),Negative/Security Testing,Master Configuration,Business Logic / >100%,"Reject percentage > 100%","Set commission = 150%","Rejected",Over 100%,High,,,,,Validation
TC-SEC-07-003,Group RI (GRP),Negative/Security Testing,Master Configuration,Business Logic / Layer Overlap,"Layer 1 max > Layer 2 min","Reject overlapping layers","Set L1 max=10M, L2 min=5M","Rejected with layer overlap error",Layer overlap,High,,,,,Logic check
TC-SEC-07-004,Group RI (GRP),Negative/Security Testing,Process Estimate,Business Logic / Future Period,"Period in future","Reject future period selection","Select period = 2030-01","Rejected with date error",Future period,High,,,,,Date validation
TC-SEC-07-005,Group RI (GRP),Negative/Security Testing,Process Estimate,Business Logic / Period > 10y Back,"Old period","Reject period >10y","Select period = 2010-01","Rejected per BRD 10-year limit",Old period,Medium,,,,,Date range
TC-SEC-07-006,Group RI (GRP),Negative/Security Testing,Upload Unname Policy,Business Logic / Negative SA,"Member SA negative","Reject negative SA","CSV row with SA = -1000","Rejected or row flagged",Negative SA,High,,,,,Logic
TC-SEC-07-007,Group RI (GRP),Negative/Security Testing,Upload,Business Logic / Zero SA,"Member SA = 0","Per BRD: zero SA handling","CSV row SA = 0","Accept with warning or reject per design",Zero SA,Medium,,,,,Zero
TC-SEC-07-008,Group RI (GRP),Negative/Security Testing,Process,Business Logic / Process w/o Source Data,"Source data missing","Should not allow process","Trigger process when source missing","Blocked per BRD",Missing source,High,,,,,Gate
TC-SEC-07-009,Group RI (GRP),Negative/Security Testing,EDW Send,Business Logic / Send Unconfirmed Data,"Process not approved","Cannot send to EDW","Try send before approve","Blocked",Unapproved,High,,,,,Workflow gate
TC-SEC-07-010,Group RI (GRP),Negative/Security Testing,Multi-treaty,Business Logic / Cross-Treaty Conflict,"Policy in 2 treaties","Per BRD: error message; abort","Trigger Process with conflict","Blocked + error",Conflict,High,,,,,Multi-treaty
TC-SEC-08-001,Group RI (GRP),Negative/Security Testing,Concurrent Operations,Concurrency / Race Condition,"Two users trigger Estimate same period","First wins; second blocked or queued","User A and B both click Process","No double-processing; deterministic outcome",Race scenario,High,,,,,Race
TC-SEC-08-002,Group RI (GRP),Negative/Security Testing,Concurrent Operations,Concurrency / Config Read Lock,"Process running uses config","Config cannot change mid-process","Start Process; try config change","Config locked; change queued",Concurrent config,High,,,,,Locking
TC-SEC-08-003,Group RI (GRP),Negative/Security Testing,Concurrent Operations,Concurrency / Snapshot vs Landing,"Snapshot and Landing run together","Transactional consistency","Concurrent run","Snapshot sees only committed Landing",Concurrent ETL,High,,,,,ETL safety
TC-SEC-09-001,Group RI (GRP),Negative/Security Testing,Audit Log,Integrity / Tamper Protection,"Audit log entry","Cannot delete or modify entries","Try to modify audit log","Blocked; audit log immutable",Tamper,High,,,,,Audit integrity
TC-SEC-09-002,Group RI (GRP),Negative/Security Testing,Audit Log,Integrity / Completeness,"All security events logged","Login, logout, failed login, config change, process trigger","Trigger each event; check log","All logged",N/A,High,,,,,Completeness
TC-SEC-09-003,Group RI (GRP),Negative/Security Testing,Audit Log,Integrity / Timestamp Accuracy,"Server time sync","NTP-synced timestamps","Check log timestamps","Server time NTP-synced",N/A,Medium,,,,,Time
TC-SEC-10-001,Group RI (GRP),Negative/Security Testing,Infrastructure,Configuration / Default Credentials,"Production deployment","No default admin/admin","Test default credentials","Disabled in production",N/A,High,,,,,Defaults
TC-SEC-10-002,Group RI (GRP),Negative/Security Testing,Infrastructure,Configuration / Debug Mode,"Production","Debug off in production","Inspect responses for debug info","No debug info leaked",N/A,High,,,,,Debug
TC-SEC-10-003,Group RI (GRP),Negative/Security Testing,Infrastructure,Configuration / Error Page,"Trigger 500 error","Generic error page","Cause 500","Generic page; no stack trace",N/A,High,,,,,Error page
TC-SEC-10-004,Group RI (GRP),Negative/Security Testing,Infrastructure,Configuration / Directory Listing,"Web root","Disabled","Browse to /uploads/","403 or no listing",N/A,Medium,,,,,Listing
TC-SEC-10-005,Group RI (GRP),Negative/Security Testing,Backup Files,Configuration / Backup Exposure,"web.config.bak, .git, .env","Not accessible","Browse to /.git/config","404",N/A,High,,,,,Backup exposure
TC-SEC-11-001,Group RI (GRP),Negative/Security Testing,Password Policy,Password Policy / Complexity,"Set new password","Min length, complexity","Try simple password '123456'","Rejected",Weak password,High,,,,,Password
TC-SEC-11-002,Group RI (GRP),Negative/Security Testing,Password Policy,Password Policy / History,"Password reuse","Reject N previous passwords","Set password = old password","Rejected",N/A,Medium,,,,,History
TC-SEC-11-003,Group RI (GRP),Negative/Security Testing,Password Policy,Password Policy / Expiry,"Old password","Force change after X days","Use old password","Forced to change",N/A,Medium,,,,,Expiry
TC-SEC-11-004,Group RI (GRP),Negative/Security Testing,Password Storage,Password Policy / Hash,"Stored password","Hashed (not plaintext, not reversible)","Inspect DB","bcrypt/Argon2 hash",N/A,High,,,,,Hash storage
TC-SEC-12-001,Group RI (GRP),Negative/Security Testing,Backup & Recovery,Backup / Restore Test,"Recent backup","Backup restorable","Restore from backup to test env","Data intact",N/A,High,,,,,Backup
TC-SEC-12-002,Group RI (GRP),Negative/Security Testing,Backup & Recovery,Backup / Encryption,"Backup files","Encrypted","Inspect backup file","Encrypted",N/A,High,,,,,Backup encryption
