Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-04-01-001,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,หน้าจอจัดการข้อมูลประมวลผล Actual,Workflow / Quarter Selection,User Login,Select quarter for Actual Dai-ichi,Login; select Q1/2026 to Q4/2026,Quarter range applied,Login,High,Blocked,Boss (DB-validated),2026-05-20,,"Workflow || RESULT: UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-002,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Data Source Check,Quarter selected,"Check sources: UW Inforce+ER, CS R61, Claim Death/Health/TPD",Trigger check,All sources verified,Q1 sources,High,,Blocked,Boss (DB-validated),2026-05-20,Source,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-003,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Data Source Check,BRD PS-04-08: 'CS Run R61 ครบ 12 งวด ยกเว้น Lapse',Verify R61 period coverage,Verify R61 has 12 periods,12 periods (or until lapse),R61 verification,High,,Blocked,Boss (DB-validated),2026-05-20,R61 critical,"UI workflow (Login as Boss, period select, screen action) — UI unreachable (sd008 503/empty). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-004,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Data Pull,All sources ready,Pull data,Trigger,Data in GRP,Ready,High,,Fail,Boss (DB-validated),2026-05-20,Pull,"Daiichi has NO SUCCESS run for Q1 2026 — all 7 act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-005,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Validation,Multi-treaty check,Same as Estimate,Setup duplicate,Error,Conflict,High,,Fail,Boss (DB-validated),2026-05-20,Multi-treaty,"Daiichi has NO SUCCESS run for Q1 2026 — all 7 act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-006,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / English Translation,User imports English names + claim causes per BRD PS-04-23,Import English translations,Import file with PolicyNo + Cession No. + English name + claim cause,Translation imported,English translations,High,,Fail,Boss (DB-validated),2026-05-20,English required,"Daiichi has NO SUCCESS run for Q1 2026 — all 7 act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-007,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Claim Cause Dictionary,Dictionary lookup for claim cause TH -> EN,Auto-translate from dictionary,Claim cause in Thai matches dictionary,Auto-translated to English,Dictionary,High,,Fail,Boss (DB-validated),2026-05-20,Dictionary,"Daiichi has NO SUCCESS run for Q1 2026 — all 7 act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-008,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Claim Cause Manual Translation,Claim cause not in dictionary,Manual translation,Claim cause not in dict; user adds translation,User can add new translation,Manual translation,High,,Fail,Boss (DB-validated),2026-05-20,Manual EN,"Daiichi has NO SUCCESS run for Q1 2026 — all 7 act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-009,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Config Check,Pending config,Same gate,Setup pending,Cannot proceed,Pending,High,,Fail,Boss (DB-validated),2026-05-20,Config gate,"Daiichi BDR for Q1 2026: 0 rows in new_renew/claim/alter (no SUCCESS act_hd). All Daiichi act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-010,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Retroactive Config (PS-04-22),Config changed mid-Q,Actual run reflects config change retroactively,Change config; re-run prior Q,New config applied,Retroactive,High,,Fail,Boss (DB-validated),2026-05-20,Retroactive critical,"Daiichi BDR for Q1 2026: 0 rows in new_renew/claim/alter (no SUCCESS act_hd). All Daiichi act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-011,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Calculation,Same as Estimate %-based,"Amounts 50%, Insurer 17%, Reinsurer 8%, etc.",Process Q; verify,Same calc as Estimate,Standard,High,,Fail,Boss (DB-validated),2026-05-20,Calc reused,"Daiichi BDR for Q1 2026: 0 rows in new_renew/claim/alter (no SUCCESS act_hd). All Daiichi act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-012,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / ER (Experience Refund),ER for Actual,Include ER data,Verify ER in calc,Included per ER file,ER data,High,,Fail,Boss (DB-validated),2026-05-20,ER,"Daiichi BDR for Q1 2026: 0 rows in new_renew/claim/alter (no SUCCESS act_hd). All Daiichi act_hd rows are CANCEL. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-013,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Lapse Mid-Q,Policy lapsed mid-Q,Include in Bordereau until lapse,Pick lapsed policy,Included up to lapse date,Lapse,High,,Fail,Boss (DB-validated),2026-05-20,Lapse handling,"Daiichi SOA for 2026Q1: 0 rows (no SUCCESS run produced SOA). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-014,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Background / Treaty Change Adjustment (PS-04-29),Policy changed Dai-ichi -> Gibraltar,Need adjustment: Dai-ichi BDR removes lapsed policy,Pick changed policy; verify Dai-ichi BDR,Excluded from Dai-ichi; appears in Gibraltar,Treaty change,High,,Fail,Boss (DB-validated),2026-05-20,Treaty change critical,"Daiichi SOA for 2026Q1: 0 rows (no SUCCESS run produced SOA). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-015,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Report / Bordereau Quarterly,Q BDR generated,Per template,Verify content,Per template,Standard,High,,Fail,Boss (DB-validated),2026-05-20,BDR,"Daiichi SOA for 2026Q1: 0 rows (no SUCCESS run produced SOA). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-016,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Report / SOA Quarterly,Q SOA,Per template,Verify,Per template,Standard,High,,Fail,Boss (DB-validated),2026-05-20,SOA,"Daiichi SOA for 2026Q1: 0 rows (no SUCCESS run produced SOA). [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
TC-BRD-PS-04-01-017,Group RI (GRP),BRD PS-04 Actual Group EB Dai-ichi Process,Export / Excel,Export Daiichi_2026Q1_export.xlsx (note: Actual uses .xlsx not .csv),Click export,File downloaded as xlsx,Excel format,Export Q,High,,Pass (Partial),Boss (DB-validated),2026-05-20,xlsx,"Daiichi audit: process_hd entries exist (some CANCEL) but final SUCCESS missing. [DAI] act_hd: 7 total (0 SUCCESS, 7 CANCEL), no SUCCESS run. BDR: new_renew=0 claim=0 alter=0. SOA HD 2026Q1: 0 rows total_net=0. Processes ACT_BORDEREAU_RE=7/7 ACT_MAIN_PROCESS=7/7."
