TCID,Lot,Summary,Priority,Trace,Pre-condition,Step Index,Action,Data,Expected Result
TC-01-01,1,TC-01-01 ดึง Customer Daily สำเร็จ,P1,01-1,มีข้อมูลใน CIS/DW,1,รอ batch 23:00 หรือ trigger ดึงข้อมูล,Customer ปกติ,"ข้อมูล Customer ถูก Insert/Update เข้า MCMP ครบ (Inforce + ไม่ Inforce, ทุกแบบประกัน)"
TC-01-02,1,TC-01-02 Update ข้อมูลที่เปลี่ยนแปลง (ไม่สร้างซ้ำ),P1,01-1,Customer เดิมมีในระบบ + ต้นทางแก้ไข,1,แก้ข้อมูล Customer ที่ต้นทาง,Customer เดิม + แก้ไข,
TC-01-02,,,,,,2,รัน batch,,ระเบียนเดิมถูก Update ไม่เกิด record ซ้ำ
TC-01-03,3,TC-01-03 ดึง Contact Center / FB Inbox Realtime,P2,01-1-(2),มี case ใหม่ใน NBS,1,สร้าง case ใหม่ใน NBS,,ข้อมูลเข้า MCMP แบบ Realtime
TC-01-04,2,TC-01-04 ตัวแทน OSSS อัปเดต Near-realtime,P2,01-1-(5),OSSS มีการแก้ไขข้อมูล,1,แก้คุณวุฒิ/ตำแหน่งใน OSSS,,MCMP อัปเดตตามอัตโนมัติ
TC-01-05,1,TC-01-05 ดึงข้อมูลไม่สำเร็จ → ไป 01-4,P1,01-2,-,1,ทำให้ source ล่ม/ไฟล์เสีย แล้วรัน batch,,ระบบจับ error ข้ามไปขั้นแจ้งผล ไม่บันทึกข้อมูลผิด
TC-01-06,1,TC-01-06 ดึงสำเร็จ → จัดเก็บ + แจ้งผล,P1,01-2/01-3,source ปกติ,1,รัน batch,,บันทึกลงระบบส่วนกลาง + ส่ง Automail สำเร็จ
TC-01-07,1,TC-01-07 Automail แจ้งผลสำเร็จ 08:00,P2,01-4,batch เสร็จ,1,ตรวจเวลา/ผู้รับ/Template,,อีเมลส่งถึงฝ่ายการตลาด 08:00 ตาม Template_Marketing Campaign
TC-01-08,1,TC-01-08 ไม่พบไฟล์ใน Path → Automail 09:00,P2,01-0-(5),-,1,ลบไฟล์ออกจาก Path แล้วรัน batch,,ส่ง Automail แจ้งฝ่ายที่เกี่ยวข้อง 09:00
TC-01-09,1,TC-01-09 ดึง RFM แบบ Manual,P2,01-1-(6),มีไฟล์ RFM,1,กดปุ่มประมวลผลบนหน้าจอ,RFM Actuary,ข้อมูล RFM ถูกนำเข้า
TC-02-01,3,TC-02-01 Upload csv ถูกต้อง,P1,01-5,ไฟล์ csv 4MB column ครบ,1,Upload ผ่าน UI,csv 4MB ถูกต้อง,นำเข้าสำเร็จ ไป 01-3
TC-02-02,3,TC-02-02 Upload ไฟล์ไม่ใช่ csv,P1,01-7(1),ไฟล์ .xlsx/.pdf,1,Upload,xlsx/pdf,Popup: อัปโหลดเป็น csv เท่านั้น
TC-02-03,3,TC-02-03 Upload ไฟล์ = 5MB พอดี,P2,01-7(1),ไฟล์ csv 5.00MB,1,Upload,csv 5.00MB,นำเข้าสำเร็จ (ขอบเขตยอมรับ)
TC-02-04,3,TC-02-04 Upload ไฟล์ > 5MB,P1,01-7(1),ไฟล์ csv 5.01MB,1,Upload,csv 5.01MB,Popup: เกินขนาดที่กำหนด
TC-02-05,3,TC-02-05 คอลัมน์ไม่ครบ/ชื่อผิด,P1,01-7(2),csv ตัดคอลัมน์ออก,1,Upload,csv column ผิด,Popup: โครงสร้าง/ชื่อคอลัมน์ไม่ถูกต้อง
TC-02-06,3,TC-02-06 ข้อมูลซ้ำกับที่เคยอัปโหลด,P1,01-7(3),เคย upload ไฟล์นี้แล้ว,1,Upload ไฟล์เดิมซ้ำ,csv ซ้ำ,Popup: พบข้อมูลซ้ำ ไม่บันทึก
TC-02-07,3,TC-02-07 เกิด error ระหว่างบันทึก,P2,01-7(4),จำลอง DB error,1,Upload,,Popup: เกิดข้อผิดพลาด กรุณาลองใหม่
TC-02-08,3,TC-02-08 ไฟล์ว่าง / 0 byte,P2,01-7,csv ว่าง,1,Upload,csv 0 byte,ระบบปฏิเสธอย่างเหมาะสม ไม่ crash
TC-02-09,3,TC-02-09 csv อักขระพิเศษ/ภาษาไทย,P2,01-5,csv UTF-8 ไทย,1,Upload,csv ไทย UTF-8,นำเข้าได้ถูกต้อง ไม่เพี้ยน
TC-03-01,3,TC-03-01 Maker upload → แสดงรายการตรวจ,P1,01-0-4-1/2,สิทธิ์ Maker,1,Upload + เปิดดูรายการ,,ระบบแสดงรายการข้อมูลให้ผู้บริหารตรวจ
TC-03-02,3,TC-03-02 Checker Approve → บันทึกเข้า CIS,P1,01-0-4-3/4,สิทธิ์ Approver,1,กด Approve,,บันทึกข้อมูลเข้า CIS + ส่ง Email แจ้งผล
TC-03-03,3,TC-03-03 Checker Reject + ระบุเหตุผล,P1,01-0-4-3/5,สิทธิ์ Approver,1,กด Reject + กรอกเหตุผล,,ไม่บันทึกข้อมูล + Email แจ้งผลพร้อมเหตุผล
TC-03-04,3,TC-03-04 Maker ไม่สามารถ Approve งานตัวเอง,P1,01-0-4,login เป็น Maker,1,พยายามอนุมัติงานตนเอง,,ระบบไม่อนุญาต (แยกบทบาท Maker/Checker)
TC-03-05,3,TC-03-05 Reject โดยไม่กรอกเหตุผล,P2,01-0-4-5,สิทธิ์ Approver,1,กด Reject เว้นเหตุผลว่าง,,ระบบบังคับให้กรอกเหตุผล
TC-04-01,1,TC-04-01 สร้าง Segment ชื่อใหม่,P1,02-3.1,-,1,สร้าง Segment ชื่อไม่ซ้ำ,,บันทึกสำเร็จ
TC-04-02,1,TC-04-02 ตั้งชื่อ Segment ซ้ำ,P1,02-3.1,มี Segment ชื่อนี้แล้ว,1,สร้างชื่อที่มีอยู่แล้ว,,"ระบบปฏิเสธ ""ห้ามตั้งชื่อซ้ำ"""
TC-04-03,1,TC-04-03 Active/Inactive โดยไม่ลบ,P2,02-3.1,มี Segment,1,toggle สถานะ,,สถานะเปลี่ยน ข้อมูลยังอยู่
TC-04-04,1,TC-04-04 Clone Segment,P2,02-3.1,มี Segment,1,กด Clone,,ได้ Segment ใหม่ที่ copy เงื่อนไข
TC-04-05,1,TC-04-05 Filter หลาย Attribute ผสมกัน,P1,02-3.2,-,1,เลือก gender + age range + province,Customer หลากหลาย,ได้กลุ่มลูกค้าตรงทุกเงื่อนไข (AND)
TC-04-06,1,TC-04-06 Filter ด้วย RFM Group,P1,02-3.2,มีข้อมูล RFM,1,เลือก RFM = Champions,RFM 11 กลุ่ม,ได้เฉพาะลูกค้ากลุ่มนั้น
TC-04-07,1,TC-04-07 Exclude Consent = No,P1,02-3.2,-,1,เปิด exclude Consent No,Customer Consent=No,ลูกค้า Consent=No ไม่อยู่ในกลุ่ม
TC-04-08,1,TC-04-08 Exclude Do-not-contact list,P1,02-3.2,-,1,เปิด exclude do-not-contact,Customer ใน do-not-contact,เบอร์ที่อยู่ใน do-not-contact ถูกตัดออก
TC-04-09,1,TC-04-09 แสดง metadata Segment,P3,02-3.3,มี Segment,1,เปิดดู Segment,,"แสดง Created by/on, Modified, running no ถูกต้อง"
TC-04-10,1,TC-04-10 Export Raw Data by Campaign,P2,02-3.4,มี Segment,1,กด Export,,ได้ไฟล์ Raw Data ตาม Template
TC-05-01,1,TC-05-01 ส่ง Audience ไป Facebook Ads,P2,02-4,มี Segment,1,เลือก Segment + Manual คลิกส่ง FB Ads,,FB Ads รับข้อมูลทำ Customer Match
TC-05-02,1,TC-05-02 ส่ง Audience ไป Google Ads,P2,02-4,มี Segment,1,เลือก Segment + ส่ง Google Ads,,Google Ads รับข้อมูล
TC-05-03,1,TC-05-03 ส่งเฉพาะ Mobile No. แยกตาม Segment,P2,02-4,มี Segment,1,ส่ง Audience,,ส่งเฉพาะ Mobile No. ของ Customer ตาม Segment
TC-06-01,3,TC-06-01 สร้าง Campaign ชื่อไม่ซ้ำ,P1,02-5.1,-,1,สร้าง Campaign,,บันทึกสำเร็จ
TC-06-02,3,TC-06-02 ตั้งชื่อ Campaign ซ้ำ,P1,02-5.1,มีชื่อนี้แล้ว,1,สร้างชื่อซ้ำ,,ปฏิเสธ
TC-06-03,3,TC-06-03 เลือกหลายช่องทาง,P1,02-5.1,มี Message ทุกช่องทาง,1,เลือกครบ 4 ช่องทาง,,ผูก Message ได้ทุกช่องทาง
TC-06-04,3,TC-06-04 ส่งทันที (Immediate),P1,02-5.1,Campaign อนุมัติแล้ว,1,"เลือก ""ส่งทันที""",,ส่งทันทีหลังอนุมัติ
TC-06-05,3,TC-06-05 ส่งตามเวลาที่กำหนด,P1,02-5.1,-,1,ตั้งเวลาในอนาคต,,ส่งตรงเวลาที่กำหนด
TC-06-06,3,TC-06-06 แก้เวลาส่งก่อนถึงกำหนด,P2,02-5.1,Campaign ตั้งเวลาไว้,1,แก้เวลาก่อนส่ง,,เวลาส่งอัปเดต
TC-06-07,3,TC-06-07 หลาย Tag / Tag ซ้ำชื่อได้,P3,02-5.1,-,1,ใส่ 2 Tag ชื่อซ้ำ Campaign อื่น,,ระบบยอมรับ
TC-06-08,3,TC-06-08 สถานะ Publish/Off,P2,02-5.1,มี Campaign,1,เปลี่ยนสถานะ,,แสดงสถานะถูกต้อง
TC-06-09,3,TC-06-09 Retarget จากกลุ่ม Open/Click,P2,02-5.1,Campaign ส่งแล้ว,1,สร้าง retarget ตาม Action=Click,,ส่งข้อมูลกลุ่มไป FB/Google
TC-06-10,3,TC-06-10 นับ Sent = เฉพาะที่ส่งสำเร็จ,P1,02-5/02-10,ส่ง 100 สำเร็จ 95,1,ตรวจตัวเลข Sent,ส่ง 100 fail 5,Sent = 95
TC-06-11,3,TC-06-11 นับ Open = เฉพาะคนเปิดอ่าน,P1,02-10.2,40 คนเปิด,1,ตรวจ Open,,Open = 40
TC-06-12,3,TC-06-12 นับ Unique Click (ไม่นับซ้ำ),P1,02-10.4,1 คนคลิก 3 ครั้ง,1,ตรวจ Unique Click,,Unique Click +1
TC-07-01,3,TC-07-01 สร้าง Message ชื่อไม่ซ้ำ,P2,02-6.1,-,1,สร้าง Message,,สำเร็จ
TC-07-02,3,TC-07-02 SMS = Text + Link เท่านั้น,P2,02-6.1,-,1,สร้าง Message SMS,,บังคับรูปแบบ Text+Link
TC-07-03,3,TC-07-03 Email/Line = Image + Text + Link,P2,02-6.1,-,1,สร้าง Message Email,,รองรับรูปภาพ+ข้อความ+ลิงก์
