Section,Lot,Title,Type,Priority,Preconditions,Steps,Expected Result,References,Test Data
TS-01,Lot 1,TC-01-01 ดึง Customer Daily สำเร็จ,Positive,P1,มีข้อมูลใน CIS/DW,รอ batch 23:00 หรือ trigger ดึงข้อมูล,"ข้อมูล Customer ถูก Insert/Update เข้า MCMP ครบ (Inforce + ไม่ Inforce, ทุกแบบประกัน)",01-1,Customer ปกติ
TS-01,Lot 1,TC-01-02 Update ข้อมูลที่เปลี่ยนแปลง (ไม่สร้างซ้ำ),Positive,P1,Customer เดิมมีในระบบ + ต้นทางแก้ไข,"1. แก้ข้อมูล Customer ที่ต้นทาง
2. รัน batch",ระเบียนเดิมถูก Update ไม่เกิด record ซ้ำ,01-1,Customer เดิม + แก้ไข
TS-01,Lot 3,TC-01-03 ดึง Contact Center / FB Inbox Realtime,Positive,P2,มี case ใหม่ใน NBS,สร้าง case ใหม่ใน NBS,ข้อมูลเข้า MCMP แบบ Realtime,01-1-(2),
TS-01,Lot 2,TC-01-04 ตัวแทน OSSS อัปเดต Near-realtime,Positive,P2,OSSS มีการแก้ไขข้อมูล,แก้คุณวุฒิ/ตำแหน่งใน OSSS,MCMP อัปเดตตามอัตโนมัติ,01-1-(5),
TS-01,Lot 1,TC-01-05 ดึงข้อมูลไม่สำเร็จ → ไป 01-4,Negative,P1,-,ทำให้ source ล่ม/ไฟล์เสีย แล้วรัน batch,ระบบจับ error ข้ามไปขั้นแจ้งผล ไม่บันทึกข้อมูลผิด,01-2,
TS-01,Lot 1,TC-01-06 ดึงสำเร็จ → จัดเก็บ + แจ้งผล,Positive,P1,source ปกติ,รัน batch,บันทึกลงระบบส่วนกลาง + ส่ง Automail สำเร็จ,01-2/01-3,
TS-01,Lot 1,TC-01-07 Automail แจ้งผลสำเร็จ 08:00,Positive,P2,batch เสร็จ,ตรวจเวลา/ผู้รับ/Template,อีเมลส่งถึงฝ่ายการตลาด 08:00 ตาม Template_Marketing Campaign,01-4,
TS-01,Lot 1,TC-01-08 ไม่พบไฟล์ใน Path → Automail 09:00,Negative,P2,-,ลบไฟล์ออกจาก Path แล้วรัน batch,ส่ง Automail แจ้งฝ่ายที่เกี่ยวข้อง 09:00,01-0-(5),
TS-01,Lot 1,TC-01-09 ดึง RFM แบบ Manual,Positive,P2,มีไฟล์ RFM,กดปุ่มประมวลผลบนหน้าจอ,ข้อมูล RFM ถูกนำเข้า,01-1-(6),RFM Actuary
TS-02,Lot 3,TC-02-01 Upload csv ถูกต้อง,Positive,P1,ไฟล์ csv 4MB column ครบ,Upload ผ่าน UI,นำเข้าสำเร็จ ไป 01-3,01-5,csv 4MB ถูกต้อง
TS-02,Lot 3,TC-02-02 Upload ไฟล์ไม่ใช่ csv,Negative,P1,ไฟล์ .xlsx/.pdf,Upload,Popup: อัปโหลดเป็น csv เท่านั้น,01-7(1),xlsx/pdf
TS-02,Lot 3,TC-02-03 Upload ไฟล์ = 5MB พอดี,Boundary,P2,ไฟล์ csv 5.00MB,Upload,นำเข้าสำเร็จ (ขอบเขตยอมรับ),01-7(1),csv 5.00MB
TS-02,Lot 3,TC-02-04 Upload ไฟล์ > 5MB,Boundary,P1,ไฟล์ csv 5.01MB,Upload,Popup: เกินขนาดที่กำหนด,01-7(1),csv 5.01MB
TS-02,Lot 3,TC-02-05 คอลัมน์ไม่ครบ/ชื่อผิด,Negative,P1,csv ตัดคอลัมน์ออก,Upload,Popup: โครงสร้าง/ชื่อคอลัมน์ไม่ถูกต้อง,01-7(2),csv column ผิด
TS-02,Lot 3,TC-02-06 ข้อมูลซ้ำกับที่เคยอัปโหลด,Negative,P1,เคย upload ไฟล์นี้แล้ว,Upload ไฟล์เดิมซ้ำ,Popup: พบข้อมูลซ้ำ ไม่บันทึก,01-7(3),csv ซ้ำ
TS-02,Lot 3,TC-02-07 เกิด error ระหว่างบันทึก,Negative,P2,จำลอง DB error,Upload,Popup: เกิดข้อผิดพลาด กรุณาลองใหม่,01-7(4),
TS-02,Lot 3,TC-02-08 ไฟล์ว่าง / 0 byte,Negative,P2,csv ว่าง,Upload,ระบบปฏิเสธอย่างเหมาะสม ไม่ crash,01-7,csv 0 byte
TS-02,Lot 3,TC-02-09 csv อักขระพิเศษ/ภาษาไทย,Boundary,P2,csv UTF-8 ไทย,Upload,นำเข้าได้ถูกต้อง ไม่เพี้ยน,01-5,csv ไทย UTF-8
TS-03,Lot 3,TC-03-01 Maker upload → แสดงรายการตรวจ,Positive,P1,สิทธิ์ Maker,Upload + เปิดดูรายการ,ระบบแสดงรายการข้อมูลให้ผู้บริหารตรวจ,01-0-4-1/2,
TS-03,Lot 3,TC-03-02 Checker Approve → บันทึกเข้า CIS,Positive,P1,สิทธิ์ Approver,กด Approve,บันทึกข้อมูลเข้า CIS + ส่ง Email แจ้งผล,01-0-4-3/4,
TS-03,Lot 3,TC-03-03 Checker Reject + ระบุเหตุผล,Negative,P1,สิทธิ์ Approver,กด Reject + กรอกเหตุผล,ไม่บันทึกข้อมูล + Email แจ้งผลพร้อมเหตุผล,01-0-4-3/5,
TS-03,Lot 3,TC-03-04 Maker ไม่สามารถ Approve งานตัวเอง,Negative,P1,login เป็น Maker,พยายามอนุมัติงานตนเอง,ระบบไม่อนุญาต (แยกบทบาท Maker/Checker),01-0-4,
TS-03,Lot 3,TC-03-05 Reject โดยไม่กรอกเหตุผล,Negative,P2,สิทธิ์ Approver,กด Reject เว้นเหตุผลว่าง,ระบบบังคับให้กรอกเหตุผล,01-0-4-5,
TS-04,Lot 1,TC-04-01 สร้าง Segment ชื่อใหม่,Positive,P1,-,สร้าง Segment ชื่อไม่ซ้ำ,บันทึกสำเร็จ,02-3.1,
TS-04,Lot 1,TC-04-02 ตั้งชื่อ Segment ซ้ำ,Negative,P1,มี Segment ชื่อนี้แล้ว,สร้างชื่อที่มีอยู่แล้ว,"ระบบปฏิเสธ ""ห้ามตั้งชื่อซ้ำ""",02-3.1,
TS-04,Lot 1,TC-04-03 Active/Inactive โดยไม่ลบ,Positive,P2,มี Segment,toggle สถานะ,สถานะเปลี่ยน ข้อมูลยังอยู่,02-3.1,
TS-04,Lot 1,TC-04-04 Clone Segment,Positive,P2,มี Segment,กด Clone,ได้ Segment ใหม่ที่ copy เงื่อนไข,02-3.1,
TS-04,Lot 1,TC-04-05 Filter หลาย Attribute ผสมกัน,Positive,P1,-,เลือก gender + age range + province,ได้กลุ่มลูกค้าตรงทุกเงื่อนไข (AND),02-3.2,Customer หลากหลาย
TS-04,Lot 1,TC-04-06 Filter ด้วย RFM Group,Positive,P1,มีข้อมูล RFM,เลือก RFM = Champions,ได้เฉพาะลูกค้ากลุ่มนั้น,02-3.2,RFM 11 กลุ่ม
