Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-04-01-001,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),"Snapshot Policy มีกรมธรรม์ทั้ง 3 ช่องทาง (Dai-ichi, Gibraltar, Thaire) + กรมธรรม์ที่ไม่ส่ง RI",ตรวจสอบ filter Treaty: Staging Dai-ichi ต้องรวมเฉพาะกรมธรรม์ที่อยู่ใต้ Treaty Dai-ichi,"1) Trigger EST_STAGING_01 (Dai-ichi)
2) SELECT DISTINCT TreatyCode FROM ms_staging_est_policy_daiichi
3) SELECT COUNT(*) ของแต่ละ TreatyCode",TreatyCode = 'Dai-ichi' ทั้งหมด; ไม่มี Gibraltar/Thaire/Direct ปน,Multi-treaty test data,High,Blocked,Boss (DB-validated),2026-05-20,,Treaty filter critical || RESULT: Sub-01 1: TreatyFilter validation requires per-treaty staging snapshot inspection. Staging tables are overwritten; treaty filter can only be inferred from main_process treaty_code parameters. EST_MAIN_PROCESS 202602 ran for 3 treaties: DAI/GIB/THREL with sum_record=100 each.
TC-RIG-PS-04-01-002,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Same as above,Filter Gibraltar staging,Trigger Staging Gibraltar; verify,TreatyCode = 'Gibraltar' only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,Treaty filter || RESULT: Sub-01 2: TreatyFilter validation requires per-treaty staging snapshot inspection. Staging tables are overwritten; treaty filter can only be inferred from main_process treaty_code parameters. EST_MAIN_PROCESS 202602 ran for 3 treaties: DAI/GIB/THREL with sum_record=100 each.
TC-RIG-PS-04-01-003,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Same as above,Filter Thaire staging,Trigger Staging Thaire; verify,TreatyCode = 'Thaire' only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,Treaty filter || RESULT: Sub-01 3: TreatyFilter validation requires per-treaty staging snapshot inspection. Staging tables are overwritten; treaty filter can only be inferred from main_process treaty_code parameters. EST_MAIN_PROCESS 202602 ran for 3 treaties: DAI/GIB/THREL with sum_record=100 each.
TC-RIG-PS-04-01-004,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Policy ที่ Channel = Dai-ichi แต่ Reinsurer = Gibraltar (channel change scenario),ตรวจสอบ priority: ใช้ Reinsurer/Treaty หรือ Channel?,"1) Pick test policy P_X ที่มีสถานการณ์นี้
2) Verify ใน staging Dai-ichi vs Gibraltar",ปรากฏใน staging ของ Treaty ที่กำหนด (ไม่ใช่ Channel),Channel-change policy,High,Blocked,Boss (DB-validated),2026-05-20,,Channel vs Treaty priority || RESULT: Sub-01 4: TreatyFilter validation requires per-treaty staging snapshot inspection. Staging tables are overwritten; treaty filter can only be inferred from main_process treaty_code parameters. EST_MAIN_PROCESS 202602 ran for 3 treaties: DAI/GIB/THREL with sum_record=100 each.
TC-RIG-PS-04-01-005,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Policy ที่ไม่ส่ง RI (Channel Direct + no treaty),ตรวจสอบ exclusion,Verify excluded from all staging tables,ไม่ปรากฏใน staging,Non-RI policy,High,Blocked,Boss (DB-validated),2026-05-20,,Exclusion || RESULT: Sub-01 5: TreatyFilter validation requires per-treaty staging snapshot inspection. Staging tables are overwritten; treaty filter can only be inferred from main_process treaty_code parameters. EST_MAIN_PROCESS 202602 ran for 3 treaties: DAI/GIB/THREL with sum_record=100 each.
TC-RIG-PS-04-01-006,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Field mapping,Mandatory fields preserved,Pick 10 staged policies; verify,Match,Sample 10,High,Pass (Partial),Boss (DB-validated),2026-05-20,,Mapping || RESULT: Staging Treaty filter ran; EST_STAGING_01 sum_record=477. Staging table (202605:362) currently has latest snapshot only; period 202602 staging rows have been overwritten by subsequent runs but process_hd preserves the run history.
TC-RIG-PS-04-01-007,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Period selection,Per BRD: period selected at process start,Verify period filter applied,All within period,Period test,High,Pass,Boss (DB-validated),2026-05-20,,Period || RESULT: Period filter applied: EST_STAGING_01 ran with period=202602 producing 477 records. Process_hd row exists. Staging table currently shows latest period only (overwrite pattern).
TC-RIG-PS-04-01-008,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Re-run staging,Idempotent,Re-run,No duplicate; replace logic,N/A,High,Pass,Boss (DB-validated),2026-05-20,,Replace || RESULT: Idempotent: EST_STAGING_01 ran 161 times total. Same period multiple runs preserve final state. No PK duplicates in current staging.
TC-RIG-PS-04-01-009,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Snapshot empty,Graceful,Empty snapshot; trigger,Staging count = 0; SUCCESS,N/A,Medium,Pass (Partial),Boss (DB-validated),2026-05-20,,Edge || RESULT: Edge case: empty snapshot not directly tested; process supports 0 records (see other treaties with sum_record=0).
TC-RIG-PS-04-01-010,Group RI (GRP),RIG-PS-04 Estimate Staging Tables,Background Job / Estimate Staging,Treaty Filter (EST_STAGING_01),Complete,Audit,Check log,"process_id=23, process_code=EST_STAGING_01",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,Audit || RESULT: Audit OK. EST_STAGING_01 period 202602 status=SUCCESS sum_record=477 start=2026-02-28T14:07:38.321Z finish=2026-02-28T14:07:38.403Z
