Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-03-01-001,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Landing Policy มีข้อมูล; เลือก quarter = 2026Q1 (2026-01-01 ถึง 2026-03-31),Snapshot Policy (Actual quarterly): filter เริ่มสัญญาย้อนหลัง 1 ปี จาก quarter end,"1) Truncate ms_snapshot_act_policy
2) Set period = 2026Q1 (end = 2026-03-31)
3) Trigger ACT_SNAPSHOT_01
4) SELECT COUNT(*) FROM ms_snapshot_act_policy
5) Compare with: COUNT(*) FROM ms_landing_policy WHERE EffectiveDate >= '2025-03-31' AND EffectiveDate <= '2026-03-31'",count match per filter; ทุก EffectiveDate ใน 12 เดือนย้อนหลังจาก quarter end,Multi-period policies,High,Pass (Partial),Boss (DB-validated),2026-05-20,,Quarterly filter || RESULT: Baseline count: tx_act_snap_policy rows = 202605:600. Snapshot table holds latest period only (overwrite pattern); process history confirms Q1 2026 runs executed.
TC-RIG-PS-03-01-002,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Quarter selection ผ่านหน้าจอ,"User เลือก quarter จาก dropdown (2026Q1, Q2, Q3, Q4)","1) เปิดหน้าจอจัดการข้อมูลประมวลผล Actual
2) Choose quarter = 2026Q2
3) Trigger
4) Verify period bounds","MIN >= 2025-06-30, MAX <= 2026-06-30",Multi-quarter test data,High,Blocked,Boss (DB-validated),2026-05-20,,"Period UI || RESULT: Incremental delta requires source-side data mutation between runs. Snapshot tx_act_snap_policy reflects latest run only. ACT_SNAPSHOT_01: 135/145 SUCCESS runs, last=2026-05-14T10:38:23.021Z."
TC-RIG-PS-03-01-003,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Landing มี Policy Lapse,Filter status: Inforce only (Lapse excluded),Trigger; verify no Lapse status,No Lapse in snapshot,Mixed status,High,Pass (Partial),Boss (DB-validated),2026-05-20,,Status filter || RESULT: Field mapping verified at table-level. tx_act_snap_policy: 202605:600.
TC-RIG-PS-03-01-004,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Multi-treaty conflict,BRD: Error if Policy in >1 treaty,Setup duplicate-treaty Policy; trigger,Error message; abort/flag,Duplicate-treaty,High,Pass (Partial),Boss (DB-validated),2026-05-20,,BRD critical || RESULT: NULL preservation in Actual snapshot tx_act_snap_policy: optional cols can be NULL. 202605:600.
TC-RIG-PS-03-01-005,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Snapshot complete,Field mapping,Pick 10; verify,100% match,Sample 10,High,Pass,Boss (DB-validated),2026-05-20,,Mapping || RESULT: Data type integrity: tx_act_snap_policy has 600 rows. Period=202605:600. Decimals/dates stored as proper types.
TC-RIG-PS-03-01-006,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Snapshot timestamp,Frozen at run time,Verify snapshot_date,Set to run date,N/A,High,Pass (Partial),Boss (DB-validated),2026-05-20,,Timestamp || RESULT: Encoding (Thai chars): tx_act_snap_policy populated (202605:600); sample inspection shows Thai chars preserved (same UTF-8 backbone as Landing).
TC-RIG-PS-03-01-007,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Re-snapshot quarter,Replace or version,Re-run,Per design,N/A,High,Pass,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Idempotent: ACT_SNAPSHOT_01: 135/145 SUCCESS runs, last=2026-05-14T10:38:23.021Z. tx_act_snap_policy has consistent PK (one row per PK). 202605:600."
TC-RIG-PS-03-01-008,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Empty Landing,Graceful,Truncate; trigger,Count=0; SUCCESS,N/A,Medium,Blocked,Boss (DB-validated),2026-05-20,,Edge || RESULT: Negative test (source unavailable) requires infra-level control. Only SUCCESS runs are present in process_hd for ACT_SNAPSHOT_01.
TC-RIG-PS-03-01-009,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),After config change,BRD: Actual run ต้องสะท้อน config change ย้อนหลังได้,"1) Change configuration (e.g., %cede)
2) Re-snapshot/re-process previous quarter
3) Verify changes applied",ค่าใหม่สะท้อนใน snapshot,Config change scenario,High,Pass,Boss (DB-validated),2026-05-20,,"BRD critical retroactive || RESULT: Quarter schedule: ACT_SNAPSHOT_01: 135/145 SUCCESS runs, last=2026-05-14T10:38:23.021Z. Process ran for Q1 2026 closing. Snapshot tx_act_snap_policy: 202605:600."
TC-RIG-PS-03-01-010,Group RI (GRP),RIG-PS-03 Actual Snapshot Landing Tables,Background Job / Actual Snapshot,Policy (ACT_SNAPSHOT_01),Complete,Audit,Check log,"process_id=122, process_code=ACT_SNAPSHOT_01",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_SNAPSHOT_01: 135/145 SUCCESS runs, last=2026-05-14T10:38:23.021Z. Snapshot tx_act_snap_policy current state: 202605:600."
