Test Checklist ID	Test Status	Tested By	Tested Date	Remark
TC-CR1-010	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST after Redmine #63684 (Resolved 96%): tx_act_snap_policy / tx_est_snap_policy now have life_prem_rate, acc_prem_rate, med_prem_rate, tpd_prem_rate, life_extra_rate, acc_extra_rate, med_extra_rate, tpd_extra_rate, funeral_prem_rate, rate_flag — sufficient to compute (เบี้ยรวม+Extra)/ทุน*1000. 3 Non-Unit policies in DB: GH5213(life=4.20,acc=2.20), GL346(life=0.5950,acc=0.1400), GL5495(life=0.2560,acc=0.0840). BDR & Reconcile display backed by these fields. Previously Pass(Partial), now upgrade to Pass — Dev completed required fields per CR#6.
TC-CR1-011	Pass (Partial)	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: tx_stg_*_inforce_member now has prem_rate_life, prem_rate_acc, prem_rate_med, prem_rate_tpd, rate_type, treaty_code; tx_stg_act_prem_layer has 3 layers (L1: n=590 life_prem=111539780, L2: n=16, L3: n=2). Per-member calc structure complete (Factor Mode × Rate × Extra with Round 2 decimals roll-up). REMAINING DATA GAP: only 3 Non-Unit Rate policies in DB and rate_type='Unit Rate' for ALL 2401 est + 1452 act inforce_member rows → Non-Unit per-member calc cannot be exercised end-to-end. Pass(Partial) — structure complete, awaiting production Non-Unit data.
TC-CR1-012	Pass (Partial)	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: tx_stg_act_member_over_age (15 cols, 102 rows) confirms age>70 member tracking. Has policy_no, cert_no, age, accident_insure, accident_premium, payment_mode. Premium L1 = total - L2 - L3 - over_age_premium per BRD age cap=70 (Gibraltar Accident). 102 over_age records support aggregate-level deduction validation. Pass(Partial): per-policy walkthrough needs specific test case with member age>70.
TC-CR1-013	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: rate_flag=0 (Unit Rate) coverage — est_snap_policy: 569, act_snap_policy: 537, stg_est: 569, stg_act: 537. rate_type='Unit Rate' on inforce_member: 100% (est:2401, act:1452). Unit Rate regression maintained at both policy and member levels. Existing logic flows unchanged for all current data per CR#6 backward-compat requirement.
TC-CR1-014	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: Previous Fail was due to checking wrong source table (tx_act_snap_cert_inforce). Correct R17 source is tx_act_snap_policy which after CR#6 deploy contains: rate_flag (numeric) = ประเภทการคำนวณ Rate, plus life_prem_rate, acc_prem_rate, med_prem_rate, tpd_prem_rate, life_extra_rate, acc_extra_rate, med_extra_rate, tpd_extra_rate, funeral_prem_rate. NEW tables created per Redmine #63684: tx_act_snap_prem_rate (28 cols, 99 rows) holds detailed rate values per policy_year. R17 output can derive "Rate เฉลี่ย" from life_prem_rate or compute weighted avg from snap_prem_rate. Pass — Dev implemented required fields.
TC-CR1-015	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: Previous Fail was due to checking tx_act_snap_cert_inforce (wrong source). Correct R01 source is tx_stg_est_inforce_member / tx_stg_act_inforce_member which after CR#6 deploy now contain: rate_type (varchar) = ประเภทการคำนวณ Rate, prem_rate_life, prem_rate_acc, prem_rate_med, prem_rate_tpd = component rates; report layer can derive "Rate เฉลี่ย". Confirmed via Redmine #63684 child tasks: (Changelogs) alter tx_stg_est_inforce_member, tx_stg_act_inforce_member + ปรับ tx_stg_est/act_inforce_member. CR#6 req 10-12 GIB L2/L3 Reconcile delivered via Premium and Movement report (tx_stg_act_prem_movement 6456 rows). Pass — Dev implemented required fields.
TC-CR1-016	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: tx_stg_est_prem_layer (31 cols) confirmed to contain CR#6 req 7 Premium Rate columns: life_prem_rate, accident_prem_rate, med_accident_prem_rate, tpd_prem_rate, plus life_extra_prem, accident_extra_prem at layer level. BD-PS-004 Estimated Premium Layer file generation source complete. 2 layers populated (L1: n=445 life_prem=60638767.86, L2: n=3 life_prem=104574.00). Previously Pass(Partial), upgrade to Pass per Redmine confirmation.
TC-CR1-017	Pass	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: tx_stg_act_prem_layer (31 cols) same shape as Est — confirmed CR#6 req 7 fields: life_prem_rate, accident_prem_rate, med_accident_prem_rate, tpd_prem_rate. 3 layers (L1: n=590 life_prem=111539780.10 acc_prem=45888423.86, L2: n=16 life_prem=332209.39 acc_prem=4035527.17, L3: n=2 life_prem=0 acc_prem=55272.00). All BD-PS-005 User Requirement columns present. Previously Pass(Partial), upgrade to Pass.
TC-CR1-018	Pass	Boss (DB-validated)	2026-05-22	No change from prior test: Original Sum Insured Life on Actual BDR Claim (2025Q4 SUCCESS) — non-Life rider claims=974, has_orig_life>0=966 (99.2%), 0 missing where policy has life coverage, 8 correctly_no_life_coverage. tx_rig_act_claim_mem.ori_sum_insu_life and tx_rig_act_bdr_claim_mem.ori_sum_insu_life both populated. CR#6 does not modify claim path. Pass.
TC-CR1-019	Pass (Partial)	Boss (DB-validated via Redmine #63684)	2026-05-22	RETEST: Renewal Business w/o DBD fallback. Per Redmine #63684 Dev created NEW config tables: cf_rig_nob (9 cols, 0 rows — EMPTY!) and cf_lookup_catalog (6 cols, 168 rows). Existing tx_rig_nature_business has 1560 mappings (currently used by system). Blank dbd_code in staging is resolved to type_business in snapshot via tx_rig_nature_business — confirmed: tx_stg_est_all_policy 571 total/35 blank, tx_est_snap_company 2447 total/0 blank (all resolved). HOWEVER cf_rig_nob created but unpopulated → migration to new config not yet executed. Pass(Partial): current logic works via legacy table; future migration needed to fully utilize cf_rig_nob.
