Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-02-01-001,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,หน้าจอจัดการข้อมูลประมวลผล Estimate,Workflow / Period Selection,Gibraltar data exists,User selects period for Gibraltar Estimate,Login; select Gibraltar; period 2026-04,Period applied,Login,High,Pass (Partial),Boss (DB-validated),2026-05-20,,Workflow || RESULT: GIB Estimate sub-01-1: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-002,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Data Source Check,Period selected,"Check 3 sources: UW Inforce, PS Premium, Claim System",Trigger check,All 3 sources verified,Sources ready,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Source check,GIB Estimate sub-01-2: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-003,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Data Pull,Data ready,Pull from 3 source systems,Trigger pull,Data in GRP,Ready,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Pull,GIB Estimate sub-01-3: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-004,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Validation,Multi-treaty check,Same as Dai-ichi: error if duplicate,Setup duplicate-treaty cert,Error message,Duplicate-treaty,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Multi-treaty,GIB Estimate sub-01-4: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-005,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Validation,Inforce 'Check' sheet conditions,Per BRD,Verify check conditions pass,Validation OK,Valid data,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Validation,GIB Estimate sub-01-5: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-006,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Config Check,Pending config,Check pending config,Setup pending,Cannot proceed,Pending config,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Config gate,GIB Estimate sub-01-6: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-01-007,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Premium Annualization,Mode = Monthly/Quarterly/Semi,Same as Dai-ichi annualization,Verify each mode,Per BRD x12/x4/x2,Multi-mode,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Annualize,GIB Estimate sub-01-7: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-02-001,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 1 Calculation,"Member age=30 SA Life=3,000,000 Premium=5,000",Layer 1 (SA <= 5M): RI Premium Life = 15% x (Premium Life + Extra Premium Life),"1) Setup test member
2) Process Estimate
3) SELECT RI Premium Life from output","RI Premium Life = round(15% x 5000, 2) = 750.00",Member SA 3M Life,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Layer 1 Life critical,GIB Estimate sub-02-1: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-02-002,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 1 Calculation,"Same member; Premium Accident = 2,000","RI Premium Accident = 15% x 2,000",Verify,"= round(15% x 2000, 2) = 300.00",Member Accident,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Layer 1 Accident,GIB Estimate sub-02-2: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-02-003,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 1 Boundary,"Member SA = 5,000,000 exactly",Boundary: still Layer 1 (SA <= 5M),Setup; verify all in Layer 1,Layer 1 = 5M; L2/L3 = 0,Boundary 5M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary critical,GIB Estimate sub-02-3: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-02-004,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 1 Boundary,"Member SA = 5,000,001",Just over boundary: splits L1 + L2,Setup; verify split,Layer 1 = 5M; Layer 2 = 1,SA just over,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary,GIB Estimate sub-02-4: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-03-001,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 2 Calculation,"Member SA Life = 7,000,000 Premium = 10,000",Layer 2 portion (5M-20M): %cede 100%; Layer 1 portion (5M): 15%,"1) Setup member
2) Process
3) Verify split + calc","Layer 1 RI Premium = round(15% x (10000 x 5/7), 2) = 1071.43
Layer 2 RI Premium = round(100% x (10000 x 2/7), 2) = 2857.14
Total RI Premium Life = 3928.57",Member SA 7M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Layer 1+2 split critical,GIB Estimate sub-03-1: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
TC-BRD-PS-02-03-002,Group RI (GRP),BRD PS-02 Estimate Group EB Gibraltar Process,Background / Layer 2 Boundary,"Member SA = 20,000,000 exactly","Boundary: Layer 1 = 5M, Layer 2 = 15M",Setup; verify split,"L1=5M, L2=15M, L3=0",Boundary 20M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary,GIB Estimate sub-03-2: process & staging ran for period 202602. GIB treaty period 202602: est_hd_count=1 (id=346 status=APPROVE due_to=189900.00). BDR rows=22 comm=97013.34 prem=0.00 claim=0.00. SOA rows=3 net=-92886.68 profit_comm=0.00. MAIN_PROCESS SUCCESS sum=100. Layer current state: 202603:359.
