Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-08-01-001,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration,User Setup Configuration,"Maker login","User Maker creates new configuration","Login as Maker (e.g., kulaya.he@ocean.co.th); navigate to config screen","Maker can see + edit config","Maker user",High,,,,,Maker access
TC-BRD-PS-08-01-002,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration,User Setup Configuration,"Maker creates config beyond user-editable","Config not user-editable","Try to edit non-user-editable field","Greyed out / Hidden; HelpDesk note shown","Restricted field",High,,,,,Restricted fields
TC-BRD-PS-08-02-001,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Dai-ichi,Update Dai-ichi Config,"Dai-ichi SOA: Amounts (%) currently 50%","Maker updates to 45%","Click Edit; change to 45%; submit for approval","Submitted to Checker pending","Dai-ichi Amounts",High,,,,,Dai-ichi config
TC-BRD-PS-08-02-002,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Dai-ichi,Update Dai-ichi Config,"All 11 Dai-ichi percentages","Verify each field updatable","Update each Dai-ichi config field","All accepted","Dai-ichi configs",High,,,,,All Dai-ichi
TC-BRD-PS-08-03-001,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Gibraltar,Update Gibraltar Config,"RI Commission currently 50%","Update to 45%","Edit; submit","Pending","Gib commission",High,,,,,Gib commission
TC-BRD-PS-08-03-002,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Gibraltar,Update Gibraltar Config,"Accidental max age 70","Update to 65","Edit; submit","Pending","Age 70 config",High,,,,,Age config
TC-BRD-PS-08-03-003,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Gibraltar,Update Gibraltar Config,"SA Layer 1: 1-5,000,000","Update Layer 1 max from 5M to 6M","Edit; submit","Pending","Layer config",High,,,,,Layer config
TC-BRD-PS-08-03-004,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Gibraltar,Update Gibraltar Config,"%cede (Life) Layer 1 = 15%","Update to 20%","Edit; submit","Pending","Cede % config",High,,,,,Cede config
TC-BRD-PS-08-03-005,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Gibraltar,Update Gibraltar Config,"Profit Commission settings","Update Reserve %, ER %","Edit; submit","Pending","PC config",High,,,,,PC config
TC-BRD-PS-08-04-001,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Thaire,Update Thaire Config,"Retention 400,000","Update to 500,000","Edit; submit","Pending","Retention config",High,,,,,Retention
TC-BRD-PS-08-04-002,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Thaire,Update Thaire Config,"%Cede 50% for 400K-2M","Update to 60%","Edit; submit","Pending","Cede %",High,,,,,Cede
TC-BRD-PS-08-04-003,Group RI (GRP),BRD PS-08 Set up Master Configuration,หน้าจอ Master Configuration / Thaire,Update Thaire Config,"AAL 10M","Update to 15M","Edit; submit","Pending","AAL config",High,,,,,AAL
