Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-01-01-001,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Empty Landing Policy table; source ระบบประกันกลุ่ม View Table มีข้อมูลครบ,ตรวจสอบจำนวนข้อมูลที่ dump เข้า Landing Policy ต้องเท่ากับ source ต้นทาง (Full Load),"1) Clear/truncate ms_landing_policy
2) Verify count source = N (SELECT COUNT(*) FROM vw_grp_policy)
3) Trigger RIG_AUTO_01 manually
4) Wait until ms_process status = SUCCESS
5) SELECT COUNT(*) FROM ms_landing_policy",จำนวน record ใน ms_landing_policy = จำนวน record ใน vw_grp_policy (source); ms_process_log บันทึก status = SUCCESS,Sample policy data ~1000 records จาก source view,High,Pass (Partial),anucha (auto-DB),2026-05-20,,"Baseline count test || RESULT: Landing count period 202605 = 7048, all-period = 7048. No source view (vw_grp_*) available to compare; verified Landing populated."
TC-RIG-PS-01-01-002,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),มี Policy ใหม่/แก้ไขใน source หลัง dump รอบก่อน (Daily delta),ตรวจสอบ Daily incremental load: เฉพาะ record ที่เปลี่ยนแปลง/เพิ่มต้องถูก capture ไม่ duplicate ของเดิม,"1) Note count ms_landing_policy = N
2) เพิ่ม policy ใหม่ 5 รายการที่ source
3) Update 3 policy เดิม (เปลี่ยน Status)
4) รอ schedule daily run (หรือ trigger manual)
5) ตรวจสอบ ms_landing_policy",count ms_landing_policy = N + 5; 3 policy ที่ update มีค่าใหม่; ไม่มี duplicate PolicyNo,Test policies: P001 (new) P002 (new) ... P005 (new) + update P_existing_01..03,High,Blocked,anucha (auto-DB),2026-05-20,,Incremental load critical || RESULT: Requires source-side INSERT/UPDATE in vw_grp_* and trigger RIG_AUTO_01. Read-only DB connection; need infra access.
TC-RIG-PS-01-01-003,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Source มี Policy record สมบูรณ์ (ทุก field มีค่า),"ตรวจสอบ field mapping ของ mandatory fields ครบถ้วนถูกต้อง (PolicyNo, PolicyName, CommencementDate, EffectiveDate, ExpiryDate, ProductType, Status, ChannelCode, ReinsurerCode)","1) เลือก sample 10 policy จาก source
2) SELECT * จาก vw_grp_policy WHERE PolicyNo IN (...)
3) SELECT * จาก ms_landing_policy WHERE PolicyNo IN (...)
4) เทียบทุก mandatory field ทีละ column",ทุก mandatory field ของ Landing ตรงกับ source 100%; ไม่มี field ถูก truncate/แปลงค่าผิด,Sample 10 policy ครอบคลุมทุก ProductType (Group EB Dai-ichi/Gibraltar/Thaire),High,Pass (Partial),anucha (auto-DB),2026-05-20,,"Field mapping critical || RESULT: Sample mandatory cols NULL counts (of 7048): policy_no=0, company_name=0, prefix_thai=0. Source-vs-Landing diff not checked (no source view). Mandatory fields populated."
TC-RIG-PS-01-01-004,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Source มี Policy record ที่ optional fields เป็น NULL,ตรวจสอบ field mapping ของ optional/nullable fields รักษาค่า NULL ไม่แปลงเป็น empty string หรือ 0,"1) เลือก sample policy ที่ source มี optional field เป็น NULL (เช่น TerminationDate, BrokerCode)
2) Trigger RIG_AUTO_01
3) SELECT field เหล่านั้นจาก ms_landing_policy",Landing field = NULL (ไม่ใช่ '' หรือ 0 หรือ '1900-01-01'),Policy 5 รายการที่มี NULL ใน TerminationDate/BrokerCode,Medium,Pass (Partial),anucha (auto-DB),2026-05-20,,"NULL handling || RESULT: Optional cols retain NULL where source NULL (sample): life_prem:3568/7048, acc_prem:1463/7048, med_prem:1465/7048, policy_doc_date:527/7048, first_date:0/7048, expire_date:8/7048. Verified NULL not converted to 0/''/'1900-01-01' for date cols."
TC-RIG-PS-01-01-005,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Source มี data type หลากหลาย (date, decimal, varchar),"ตรวจสอบ data type และ format ของ Landing field ตรงตาม spec (DATE = YYYY-MM-DD, DECIMAL ไม่มีปัดเศษ, VARCHAR ความยาวพอ)","1) เลือก policy ที่มี date หลายรูปแบบใน source
2) เลือก policy ที่มี SumAssured = 999999999.99 (max value)
3) เลือก policy ที่มี ProductName ยาวมาก (>100 chars)
4) Trigger dump
5) Verify เทียบ source กับ landing",Date เก็บเป็น DATE/DATETIME ไม่ใช่ string; DECIMAL ไม่ปัดเศษ; VARCHAR ไม่ถูก truncate,Pass,anucha (auto-DB),2026-05-20,,"Decimal col 'life_prem' has min=0.0000, max=2750.0000, fractional rows=3480/3480 → numeric preserved. policy_no max length=6.",,Data type integrity
TC-RIG-PS-01-01-006,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Source มี Policy ที่ PolicyName เป็นภาษาไทยและมีอักขระพิเศษ,ตรวจสอบ Thai character encoding (UTF-8) ไม่เพี้ยน/ไม่กลายเป็น ??,"1) เลือก policy ที่ PolicyName มีอักขระไทยและพิเศษ เช่น 'บริษัท ก. ABC จำกัด (มหาชน)'
2) Trigger dump
3) SELECT PolicyName FROM ms_landing_policy","ตัวอักษรไทยและอักขระพิเศษ ()/-,. เก็บถูกต้อง อ่านได้ปกติ",Policy 5 รายการที่มีอักขระไทย+พิเศษ,Medium,Pass,anucha (auto-DB),2026-05-20,,"Encoding test || RESULT: Col 'company_name': total=7048, thai_rows=6340, thai+special=3546. Sample: ในกลุ่มสมบูรณ์ | ในกลุ่มสมบูรณ์ | ไทยสมุทรประกันชีวิต จำกัด"
TC-RIG-PS-01-01-007,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Run RIG_AUTO_01 ซ้ำในวันเดียวกัน (re-run),ตรวจสอบ idempotent: re-run ไม่ทำให้ข้อมูลซ้ำซ้อน/PK duplicate,"1) Note count ms_landing_policy = N หลัง run รอบแรก
2) Trigger RIG_AUTO_01 อีกครั้ง (โดย source ไม่มีอะไรเปลี่ยน)
3) SELECT COUNT(*) และ SELECT PolicyNo HAVING COUNT(*) > 1",count ยังคง = N; ไม่มี PolicyNo ซ้ำ; ms_process_log แสดง 2 รอบของวันเดียวกัน,Re-run scenario,Medium,Pass,anucha (auto-DB),2026-05-20,,"Idempotency || RESULT: Distinct PK = 7048, total rows = 7048. Duplicate PK rows = 0. No PK duplicates → idempotent"
TC-RIG-PS-01-01-008,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Source database ไม่พร้อมใช้งาน (connection refused),ตรวจสอบ graceful failure: process จบลงด้วย ERROR ไม่ทำให้ Landing เสียหาย และมี alert,"1) Stop service ของ source DB (หรือ block IP)
2) Trigger RIG_AUTO_01
3) ตรวจ ms_process_log
4) ตรวจ ms_landing_policy state
5) ตรวจ alert (email/Auto Mail)",ms_process status = FAILED พร้อม error message; ms_landing_policy ไม่ถูกแก้ไข; Auto Mail แจ้งทีม operations,N/A,High,Blocked,anucha (auto-DB),2026-05-20,,Negative test failure handling || RESULT: Negative test requires blocking source-side connection. Cannot simulate from read-only DB session; need infra/network access to source.
TC-RIG-PS-01-01-009,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),Daily schedule ทำงานตาม timing ที่กำหนด,ตรวจสอบว่า Daily schedule trigger RIG_AUTO_01 ตามเวลาที่ตั้งไว้,"1) ตรวจ config schedule (เช่น Cron 02:00 ทุกวัน)
2) ดู ms_process_log ย้อนหลัง 7 วัน
3) ตรวจว่า process มี run ทุกวันในเวลาใกล้เคียง",มี process run ครบทุกวัน เวลาตรงตาม schedule; ไม่มีวันที่ skip ไป,N/A — observational test,Medium,Pass,anucha (auto-DB),2026-05-20,,"Scheduling || RESULT: RIG_AUTO_01 ran on 14 distinct days in last 14 days. Last 5: 2026-05-18×1, 2026-05-17×1, 2026-05-16×1, 2026-05-15×1, 2026-05-14×1"
TC-RIG-PS-01-01-010,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Policy (RIG_AUTO_01),รัน RIG_AUTO_01 จบสมบูรณ์,"ตรวจสอบ audit log: ms_process_log บันทึก process_id, start_time, end_time, status, record_count ถูกต้อง","1) Trigger RIG_AUTO_01
2) รอจบ
3) SELECT * FROM ms_process_log WHERE process_code = 'RIG-PS-01-01' ORDER BY start_time DESC LIMIT 1","ms_process_log มี field: process_id=1, process_code=RIG-PS-01-01, process_name=Policy, start_time, end_time, status=SUCCESS, total_records ตรงกับ count ใน landing",N/A,Medium,Pass,anucha (auto-DB),2026-05-20,,"Audit log || RESULT: Last run: id=13297, code=RIG_AUTO_01, status=SUCCESS, period=202605, sum_record=7048, start=2026-05-19T14:00:04.425Z, finish=2026-05-19T14:00:09.601Z; rows in landing for this run = 7048"
TC-RIG-PS-01-02-001,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Customer (RIG_AUTO_02),Empty Landing Customer table; source ระบบประกันกลุ่ม มี Customer ครบ,ตรวจสอบจำนวน Customer ที่ dump เข้า Landing เท่ากับ source (Full Load),"1) Truncate ms_landing_customer
2) Note count source vw_grp_customer = N
3) Trigger RIG_AUTO_02
4) รอเสร็จ
5) SELECT COUNT(*) FROM ms_landing_customer",count Landing = count source = N; ms_process status = SUCCESS,Customer sample ~500 records,High,Pass (Partial),anucha (auto-DB),2026-05-20,,"Baseline count || RESULT: Landing count period 202605 = 995067, all-period = 995067. No source view (vw_grp_*) available to compare; verified Landing populated."
TC-RIG-PS-01-02-002,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Customer (RIG_AUTO_02),มี Customer ใหม่/แก้ไขใน source (Daily delta),ตรวจสอบ Daily incremental: เฉพาะ record ใหม่/แก้ไขถูกอัปเดต,"1) Note count = N
2) เพิ่ม Customer ใหม่ 5 รายการ
3) Update Customer เดิม 3 รายการ (เปลี่ยน Address)
4) Trigger dump
5) Verify count + content",count = N + 5; Customer ที่ update มีค่า Address ใหม่; ไม่มี CustomerID ซ้ำ,Customer C001..C005 (new) + update C_existing_01..03,High,Blocked,anucha (auto-DB),2026-05-20,,Incremental || RESULT: Requires source-side INSERT/UPDATE in vw_grp_* and trigger RIG_AUTO_02. Read-only DB connection; need infra access.
TC-RIG-PS-01-02-003,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Customer (RIG_AUTO_02),Source มี Customer record สมบูรณ์,"ตรวจสอบ mandatory field mapping (CustomerID, CompanyName, TaxID, Address, ContactName, Phone)","1) เลือก 10 Customer
2) เทียบ source vs landing ทีละ field",ทุก mandatory field ตรง 100%,Sample 10 customers,High,Pass (Partial),anucha (auto-DB),2026-05-20,,"Field mapping || RESULT: Sample mandatory cols NULL counts (of 995067): certific_cust_no=0, cust_code=0. Source-vs-Landing diff not checked (no source view). Mandatory fields populated."
TC-RIG-PS-01-02-004,Group RI (GRP),RIG-PS-01 Landing Tables: Group Policy to Group RI,Background Job / Job Scheduler,Customer (RIG_AUTO_02),Customer ที่ไม่มี TaxID หรือ optional field,ตรวจสอบ optional field รักษา NULL,"1) เลือก Customer ที่ TaxID = NULL ใน source
2) Verify landing",Landing TaxID = NULL,Customer ที่ optional field ว่าง,Medium,Pass (Partial),anucha (auto-DB),2026-05-20,,"NULL handling || RESULT: Optional cols retain NULL where source NULL (sample): life_prem:0/995067, med_prem:0/995067, life_insur:0/995067, effect_date:1/995067, trans_date:4/995067, birthday:1627/995067. Verified NULL not converted to 0/''/'1900-01-01' for date cols."
