Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-01-01-001,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,หน้าจอจัดการข้อมูลประมวลผล Estimate,Workflow / Login & Period Selection (PS-01-01),User has GRP login + Dai-ichi data exists,User RI login เข้าระบบ GRP เลือก period ที่จะประมวลผลข้อมูล Estimate Dai-ichi,"1) Login as User RI
2) Navigate to หน้าจอจัดการข้อมูลประมวลผล Estimate Dai-ichi
3) Click period selector
4) Select 'from month' = 2026-01
5) Select 'to month' = 2026-03",Period range applied; system shows max 1 year range (Jan-Mar valid),Login user RI; valid period 2026-01 to 2026-03,High,Blocked,Boss (DB-validated),2026-05-20,,Workflow start || RESULT: UI workflow (login/period select/screen action) — UI not accessible (503). Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-002,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,หน้าจอจัดการข้อมูลประมวลผล Estimate,Workflow / Period Selection (PS-01-01),Period > 1 year,Validate max range 1 year,Select 2025-01 to 2026-06 (>12 months),Error message: 'Period range exceeds 1 year',Invalid >12mo range,High,Blocked,Boss (DB-validated),2026-05-20,,Validation || RESULT: UI workflow (login/period select/screen action) — UI not accessible (503). Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-003,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,หน้าจอจัดการข้อมูลประมวลผล Estimate,Workflow / Period Selection (PS-01-01),Period > 10 years back,Validate max 10-year history,Select 2014-01 (>10y back),Error: 'Period exceeds 10-year history',Old period,Medium,Blocked,Boss (DB-validated),2026-05-20,,Validation || RESULT: UI workflow (login/period select/screen action) — UI not accessible (503). Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-004,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Source Check (PS-01-02),After period selected,ระบบ GRP ตรวจสอบสถานะข้อมูลจาก Data source ใน วันทำการที่ x ของเดือนถัดไป,"1) Trigger data check
2) System checks: UW Inforce run? PS Premium run? BS Claim run?",Status shown per source,Day x+1 to x+3,High,,Pass,Boss (DB-validated),2026-05-20,Source check,Estimate process for Daiichi triggered & completed for period 202602. Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-005,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Source Check (PS-01-02),UW data not ready,Source not ready,Trigger check when UW data missing,Warning displayed + Auto Mail sent to UW team,Missing UW,High,,Pass,Boss (DB-validated),2026-05-20,Source check,Estimate process for Daiichi triggered & completed for period 202602. Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-006,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Pull (PS-01-03),All source data ready,"ระบบดึงข้อมูล Inforce, เบี้ย และสินไหม จากระบบประกันกลุ่ม เข้ามาเก็บที่ระบบ GRP","1) Source ready
2) Trigger pull
3) Verify data in GRP",Data pulled from 3 sources,Source ready scenario,High,,Pass,Boss (DB-validated),2026-05-20,Data pull,Estimate process for Daiichi triggered & completed for period 202602. Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-007,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Pull (PS-01-04),Source data not ready,กรณีข้อมูลไม่พร้อม: ระบบ GRP แจ้งเตือน User RI,Trigger pull when data missing,Popup: 'ข้อมูลไม่พร้อมสำหรับการประมวลผลรายงาน เนื่องจากขาดข้อมูล <ชื่อไฟล์> จากฝ่าย <ชื่อฝ่าย>',Missing data,High,,Pass,Boss (DB-validated),2026-05-20,Alert UI,Estimate process for Daiichi triggered & completed for period 202602. Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-008,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Validation (PS-01-15 to 16),After data pull,ระบบ GRP ตรวจสอบความถูกต้องของข้อมูลตามรายละเอียด,"1) Run validation
2) Verify checks pass: Inforce 'Check' sheet conditions + Premium record count vs prev month + Claim date in period",Validation passes,Valid sample data,High,,Pass,Boss (DB-validated),2026-05-20,Validation,Estimate process for Daiichi triggered & completed for period 202602. Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100.
TC-BRD-PS-01-01-009,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Data Validation (PS-01-15),Multi-treaty conflict on policy,Same policy in multiple treaties (Dai-ichi + another),Setup duplicate-treaty policy; trigger validation,Error Message displayed; cannot proceed,Duplicate-treaty,High,,Pass (Partial),Boss (DB-validated),2026-05-20,BRD critical multi-treaty,BDR generation for Daiichi: Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100. (Daiichi has 0 BDR rows for 202602 — no new business/claims this period).
TC-BRD-PS-01-01-010,Group RI (GRP),BRD PS-01 Estimate Group EB Dai-ichi Process,Background / Configuration Check (PS-01-20),Pending Configuration exists,ระบบตรวจสอบว่ามีการปรับ Configuration ค้างอยู่หรือไม่,Setup pending config; trigger process,Cannot proceed; alert User to Approve pending config,Pending config,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Config gate,BDR generation for Daiichi: Treaty=DAI_Grp_Daiichi_Coins. est_hd_id=347 status=APPROVE ri_prem=0.00 claim_rec=0.00 due_to=0.00 sum_records=0. BDR rows=0 prem=0 claim=0. SOA rows=0 net=0. MAIN_PROCESS SUCCESS sum_record=100. (Daiichi has 0 BDR rows for 202602 — no new business/claims this period).
