Formula ID,Treaty,Category,Formula Name,Formula (BRD),Input Variables,Worked Example,Expected Output,Verification Method,Notes
F-PREM-001,All,Premium,Annualization Monthly,"AnnualPremium = MonthlyPremium x 12","MonthlyPremium=1000","1000 x 12 = 12000","12000","SQL: SELECT AnnualPremium FROM staging WHERE Mode='Monthly'","Per BRD PS-01/02/03 cond 3"
F-PREM-002,All,Premium,Annualization Quarterly,"AnnualPremium = QuarterlyPremium x 4","QuarterlyPremium=3000","3000 x 4 = 12000","12000","SQL annualize","Per BRD"
F-PREM-003,All,Premium,Annualization SemiAnnual,"AnnualPremium = SemiAnnualPremium x 2","SemiAnnualPremium=6000","6000 x 2 = 12000","12000","SQL","Per BRD"
F-PREM-004,All,Premium,Annualization Annual,"AnnualPremium = AnnualPremium","AnnualPrem=12000","12000 (no change)","12000","Pass-through","Per BRD"
F-PREM-005,All,Premium,Combined Life+Extra,"TotalLifePremium = LifePrem + LifeExtraPrem","LifePrem=10000; LifeExtraPrem=2000","10000 + 2000 = 12000","12000","SQL sum","Per BRD field formula"
F-DAI-001,Dai-ichi,SOA,Amounts %,"AmountsCession = round(Base x 50%, 2)","Base=100000","round(100000 x 0.50, 2) = 50000.00","50000.00","SQL: SELECT ROUND(Base * 0.5, 2)","Per BRD config 50%"
F-DAI-002,Dai-ichi,SOA,First Year Premium %,"FYPCession = round(BaseFYP x 50%, 2)","BaseFYP=200000","100000.00","100000.00","SQL","Per BRD 50%"
F-DAI-003,Dai-ichi,SOA,Renewal Premium %,"RPCession = round(BaseRP x 50%, 2)","BaseRP=80000","40000.00","40000.00","SQL","Per BRD 50%"
F-DAI-004,Dai-ichi,SOA,Net Premium %,"NPCession = round(NetPrem x 50%, 2)","NetPrem=100000","50000.00","50000.00","SQL","Per BRD 50%"
F-DAI-005,Dai-ichi,SOA,Claim Paid %,"ClaimCession = round(ClaimPaid x 50%, 2)","ClaimPaid=60000","30000.00","30000.00","SQL","Per BRD; also for DT Claim, Dismemberment Claim sheets"
F-DAI-006,Dai-ichi,SOA,Change %,"ChangeCession = round(Change x 50%, 2)","Change=5000","2500.00","2500.00","SQL","Per BRD 50%"
F-DAI-007,Dai-ichi,SOA,Cancellation %,"CancelCession = round(Cancellation x 50%, 2)","Cancellation=3000","1500.00","1500.00","SQL","Per BRD 50%"
F-DAI-008,Dai-ichi,SOA,Dividend %,"DividendCession = round(Dividend x 50%, 2)","Dividend=2000","1000.00","1000.00","SQL","Per BRD 50%"
F-DAI-009,Dai-ichi,SOA,Broker Commission %,"BrokerComCession = round(BrokerCom x 50%, 2)","BrokerCom=5000","2500.00","2500.00","SQL","Per BRD 50%"
F-DAI-010,Dai-ichi,SOA,Insurer Expenses %,"InsurerExp = round(BaseAmt x 17%, 2)","BaseAmt=100000","17000.00","17000.00","SQL","Per BRD 17%"
F-DAI-011,Dai-ichi,SOA,Reinsurer Expenses %,"ReinsurerExp = round(BaseAmt x 8%, 2)","BaseAmt=100000","8000.00","8000.00","SQL","Per BRD 8%"
F-GIB-LAYER-001,Gibraltar,Layer Split,Layer 1 SA cap,"L1_SA = MIN(MemberSA, 5000000)","MemberSA=3000000","MIN(3M, 5M) = 3,000,000","3000000","SQL LEAST function","Per BRD Layer 1 = 1-5M"
F-GIB-LAYER-002,Gibraltar,Layer Split,Layer 2 SA cap,"L2_SA = GREATEST(0, MIN(MemberSA - 5000000, 15000000))","MemberSA=7000000","GREATEST(0, MIN(2M, 15M)) = 2,000,000","2000000","SQL","Per BRD Layer 2 = 5M-20M"
F-GIB-LAYER-003,Gibraltar,Layer Split,Layer 3 SA,"L3_SA = GREATEST(0, MemberSA - 20000000)","MemberSA=25000000","GREATEST(0, 5M) = 5,000,000","5000000","SQL","Per BRD Layer 3 = >20M Facultative"
F-GIB-LAYER-004,Gibraltar,Layer Split,Layer integrity check,"L1 + L2 + L3 = MemberSA","MemberSA=25M","5M + 15M + 5M = 25M","TRUE","SQL: SUM = MemberSA","Cross-check"
F-GIB-PREM-001,Gibraltar,RI Premium Life,Layer 1 RI Premium Life,"RIPremLife_L1 = round(15% x (PremLife + ExtraPremLife) x (L1_SA / MemberSA), 2)","PremLife=10000; Extra=0; MemberSA=7M; L1_SA=5M","round(0.15 x 10000 x (5M/7M), 2) = round(0.15 x 7142.8571, 2) = round(1071.4286, 2) = 1071.43","1071.43","SQL","Per BRD Layer 1 Life cede 15%"
F-GIB-PREM-002,Gibraltar,RI Premium Life,Layer 2 RI Premium Life,"RIPremLife_L2 = round(100% x (PremLife + ExtraPremLife) x (L2_SA / MemberSA), 2)","PremLife=10000; MemberSA=7M; L2_SA=2M","round(1.0 x 10000 x (2M/7M), 2) = round(2857.1429, 2) = 2857.14","2857.14","SQL","Per BRD Layer 2 cede 100%"
F-GIB-PREM-003,Gibraltar,RI Premium Life,Layer 3 RI Premium Life,"RIPremLife_L3 = round(0% x (PremLife + ExtraPremLife) x (L3_SA / MemberSA), 2)","Any","Always 0 unless manual override","0.00","SQL","Per BRD Layer 3 Facultative (default 0)"
F-GIB-PREM-004,Gibraltar,RI Premium Life,Total RI Premium Life,"RIPremLife_Total = RIPremLife_L1 + RIPremLife_L2 + RIPremLife_L3","From above","1071.43 + 2857.14 + 0 = 3928.57","3928.57","SQL SUM","Total cross-check"
