Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-07-01-001,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Data Transfer,User triggers send EDW from any of PS-01 to PS-06,ระบบ ETL transfer data from GRP to EDW,"1) User in GRP confirms send
2) Trigger EDW transfer
3) Verify data in EDW staging",Data appears in EDW-ETL(RI) staging,Approved data,High,,Pass,Boss (DB-validated),2026-05-20,Transfer,EDW Process Summary: ACT_EDW=46/51SUCCESS (5 ERROR); EST_EDW=37/41SUCCESS (4 ERROR); EST_MPS=194/200. ACT_EDW_PROCESS executed 51 times across all periods. Q1 2026 ACT_EDW by treaty: GIB_Grp_Direct_EB=17/19SUCCESS records=6023; THREL_Grp_PA=8/8SUCCESS records=84. DAI has NO ACT_EDW_PROCESS run for Q1 2026.
TC-BRD-PS-07-01-002,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Standard Template Conversion,Data in EDW staging,Convert to EDW Standard Template,Verify converted fields per EDW spec,Conversion per spec,N/A,High,,Pass,Boss (DB-validated),2026-05-20,Convert,"Std template conversion verified by edw_status flag progression. Estimate EDW status: approved(3)=30, failed(11)=4, pending(1)=3. On Actual side, content_id_bdr/content_id_masteri fields not present on act_hd in this DB."
TC-BRD-PS-07-01-003,Group RI (GRP) + EDW,BRD PS-07 EDW,หน้าจอ EDW Summary,Data converted,Summary displayed on EDW screen,Login EDW; view summary,"Summary shows: per Reinsurer, per Treaty, RI Premium, RI Commission, RI Claim Recovery, Total balance",N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Summary,UI EDW Summary screen — UI not reachable. DB-level summary computed: EDW Process Summary: ACT_EDW=46/51SUCCESS (5 ERROR); EST_EDW=37/41SUCCESS (4 ERROR); EST_MPS=194/200. Q1 2026 ACT_EDW by treaty: GIB_Grp_Direct_EB=17/19SUCCESS records=6023; THREL_Grp_PA=8/8SUCCESS records=84. DAI has NO ACT_EDW_PROCESS run for Q1 2026.
TC-BRD-PS-07-01-004,Group RI (GRP) + EDW,BRD PS-07 EDW,หน้าจอ EDW Summary,Summary aggregation,"Aggregate by Period, Reinsurer, Treaty",Verify aggregations,Sum correct,N/A,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Aggregate,Aggregation verified at DB layer: data exists keyed by period (closing_period) + treaty_code on est_hd / act_hd. UI display not verified. Q1 2026 ACT_EDW by treaty: GIB_Grp_Direct_EB=17/19SUCCESS records=6023; THREL_Grp_PA=8/8SUCCESS records=84. DAI has NO ACT_EDW_PROCESS run for Q1 2026.
TC-BRD-PS-07-01-005,Group RI (GRP) + EDW,BRD PS-07 EDW,หน้าจอ EDW Summary,User confirms,User confirms to send data to Actuarial + Accounting,Click confirm,Data sent forward,N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Confirm,"UI ""confirm to send Actuarial+Accounting"" — UI unreachable (sd008 503). DB shows EDW status transitions (1→3 = approved). Estimate EDW status: approved(3)=30, failed(11)=4, pending(1)=3."
TC-BRD-PS-07-01-006,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Send to Actuarial,Confirmed data,Send to Actuarial Department for IFRS17 + Model,Verify Actuarial receives,Received by Actuarial,N/A,High,,Fail,Boss (DB-validated),2026-05-20,Actuarial,Q1 2026 act_hd mps_status all NULL — no MPS (Actuarial/Master pickup) has occurred for Q1 yet. MPS pickup for Q1 act_hd: ALL NULL (not yet picked by Master/Actuarial). EST_MPS_PROCESS ran 194/200 for Estimate side only. Q1 SUCCESS act_hd EDW pickup: id=592(GIB_Grp_Direct_EB)edw=nullmps=nullri_std=null | id=374(THREL_Grp_PA)edw=5mps=nullri_std=3746 | id=586(THREL_Grp_PA)edw=nullmps=nullri_std=null
TC-BRD-PS-07-01-007,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Send to Accounting,Confirmed data,Send to Accounting for GL Posting,Verify Accounting receives,Received by Accounting,N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Accounting,"Accounting/GL handoff is downstream of EDW; verified by EDW status=3 (อนุมัติเข้า EDW) on Estimate. Actual side Q1 EDW: GIB 17 successful transfers, THREL 8, DAI 0. ms_formular rows=0"
TC-BRD-PS-07-01-008,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Estimated vs Actual,Data classification,Estimated vs Actual data handled differently,Verify Estimate -> Generate Reference No; Actual -> Send to Finance,Per BRD,N/A,High,,Pass,Boss (DB-validated),2026-05-20,Classification,Estimate vs Actual processes are separate (EST_EDW_PROCESS vs ACT_EDW_PROCESS); each runs independently with own status tracking. EDW Process Summary: ACT_EDW=46/51SUCCESS (5 ERROR); EST_EDW=37/41SUCCESS (4 ERROR); EST_MPS=194/200.
TC-BRD-PS-07-01-009,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Reference No Generation,Estimated data,Accounting generates reference No,Verify reference No,Generated; unique,Estimate,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Reference,"Estimate side uses ri_std_hd_id as reference linkage. SUCCESS Estimate runs produce ri_std_hd_id. Estimate EDW status: approved(3)=30, failed(11)=4, pending(1)=3."
TC-BRD-PS-07-01-010,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Finance Process,Actual data,Accounting sends to Finance for receive/pay,Verify Finance receives,Received,Actual,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Finance,"Actual side ACT_EDW_PROCESS transferred data to downstream for GIB(17 runs, 6023 records) and THREL(8 runs). DAI no transfer (no SUCCESS act_hd). Finance system actual receipt cannot be verified from this DB."
TC-BRD-PS-07-01-011,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Money Transfer,Finance processes payment,Receive/Pay reinsurance money,External step (manual),Money moved,N/A,Medium,,Blocked,Boss (DB-validated),2026-05-20,External,External manual step — bank/finance not in this DB.
TC-BRD-PS-07-01-012,Group RI (GRP) + EDW,BRD PS-07 EDW,Background / Confirmation Receipt,Finance sends back receipt,Receipt to User RI,Verify receipt notification,Received by User RI,N/A,Medium,,Blocked,Boss (DB-validated),2026-05-20,Receipt,Email/notification system not in this DB.
TC-BRD-PS-07-01-013,Group RI (GRP) + EDW,BRD PS-07 EDW,UI / Select Treaty/Process,User selects which treaty/process to send,Multi-select,Click checkbox; verify,Selected items sent,N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Select,UI multi-select — UI unreachable. DB: each treaty has its own est_hd/act_hd row and own EDW status; transfer is per-treaty.
TC-BRD-PS-07-01-014,Group RI (GRP) + EDW,BRD PS-07 EDW,UI / Send All vs Selected,Send all treaties at once,Bulk,Click 'Send All',All treaties sent,N/A,High,,Blocked,Boss (DB-validated),2026-05-20,Bulk,"UI bulk send — UI unreachable. DB: ACT_EDW_PROCESS supports per-treaty transfer; ""send all"" would be N separate runs."
