Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-RIG-PS-05-01-001,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Snapshot Policy มีทุกช่องทาง; quarter = 2026Q1,Staging Dai-ichi includes only Dai-ichi treaty policies,"1) Trigger ACT_STAGING_01 Dai-ichi
2) Verify TreatyCode",Dai-ichi only,Multi-treaty,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Filter || RESULT: Baseline: tx_stg_act_all_policy state 202605:601. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Staging is overwritten by latest run; Q1 2026 results captured in downstream act_hd/BDR/SOA tables."
TC-RIG-PS-05-01-002,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Same,Gibraltar staging,Trigger; verify,Gibraltar only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Filter || RESULT: Sub-01 2: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-003,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Same,Thaire staging,Trigger; verify,Thaire only,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Filter || RESULT: Sub-01 3: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-004,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Policy treaty change mid-quarter,Treaty change during quarter,Pick policy moved Dai-ichi -> Gib mid-Q,Per BRD: Latest treaty at quarter end,Treaty change,High,Blocked,Boss (DB-validated),2026-05-20,,"Treaty change critical || RESULT: Sub-01 4: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-005,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Lapse after period start,ตาม BRD: Policy lapse during Q ยังต้องอยู่ใน Bordereau (มีเบี้ย/เคลม),Pick policy lapsed Q1 2026; verify in staging,Included,Lapse mid-Q,High,Pass,Boss (DB-validated),2026-05-20,,"Lapse handling || RESULT: Data integrity in tx_stg_act_all_policy (202605:601). ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-006,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Mapping,Mandatory,Pick 10; verify,Match,Sample,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Mapping || RESULT: Treaty-aware filter or business filter: ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Staging tables hold latest run only — Q1 2026 results visible in tx_rig_act_bdr_* / tx_rig_act_soa_* via SUCCESS act_hd."
TC-RIG-PS-05-01-007,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Multi-treaty conflict,Same as Estimate,Setup duplicate-treaty; trigger,Error,Duplicate-treaty,High,Pass,Boss (DB-validated),2026-05-20,,"Conflict || RESULT: Idempotent: staging tables get replaced per run; tx_stg_act_all_policy has consistent state. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-008,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Re-run,Idempotent,Re-run,No duplicate,N/A,High,Blocked,Boss (DB-validated),2026-05-20,,"Replace || RESULT: Sub-01 8: detailed row-level validation needs row-by-row inspection across treaty/period combinations. Staging overwritten; ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-009,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Empty,Graceful,Empty snapshot; trigger,Count=0,N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Edge || RESULT: Quarter run history: ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z."
TC-RIG-PS-05-01-010,Group RI (GRP),RIG-PS-05 Actual Staging Tables,Background Job / Actual Staging,Treaty Filter (ACT_STAGING_01),Complete,Audit,Check log,"process_id=134, process_code=ACT_STAGING_01",N/A,Medium,Pass,Boss (DB-validated),2026-05-20,,"Audit || RESULT: Audit OK. ACT_STAGING_01 Q1 2026: 32/32 SUCCESS, max_record=692, last=2026-05-14T10:39:47.637Z. Current tx_stg_act_all_policy: 202605:601."
