Scenario ID,Treaty,Scenario Type,Description,Input Data,Expected Output,Used in Test Case,Priority,Notes
TD-DAI-001,Dai-ichi,Policy,Active Policy with monthly premium,"PolicyNo=DAI-P001; Channel=Dai-ichi; Mode=Monthly; PremiumPerPayment=1000; EffectiveDate=2025-06-01; Status=Inforce","Annual Premium = 12000; Included in 2026-04 Estimate","TC-BRD-PS-01-01-013, TC-RIG-PS-04-07-001",High,Standard monthly mode
TD-DAI-002,Dai-ichi,Policy,Active Policy with quarterly premium,"PolicyNo=DAI-P002; Mode=Quarterly; PremiumPerPayment=3000","Annual = 12000","TC-BRD-PS-01-01-014, TC-RIG-PS-04-07-002",High,Quarterly mode
TD-DAI-003,Dai-ichi,Policy,Active Policy with semi-annual premium,"PolicyNo=DAI-P003; Mode=SemiAnnual; PremiumPerPayment=6000","Annual = 12000","TC-BRD-PS-01-01-015, TC-RIG-PS-04-07-003",High,SemiAnnual mode
TD-DAI-004,Dai-ichi,Policy,Advance premium,"PolicyNo=DAI-P004; PromiseDate=2026-05-15; Period=2026-04","Excluded from period 2026-04; included in 2026-05","TC-BRD-PS-01-01-017",High,Advance hold
TD-DAI-005,Dai-ichi,Policy,Renewal unpaid - use Y-1,"PolicyNo=DAI-P005; CommencementDate=2024-04-01; RenewalDate=2026-04-01; Status=Inforce; PaidDate=NULL","Use Y-1 Premium (2025-04 value) for Estimate 2026-04","TC-BRD-PS-01-01-018",High,Y-1 critical
TD-DAI-006,Dai-ichi,Policy,Late-paid NewBiz prior month,"PolicyNo=DAI-P006; CommencementDate=2026-03-15; PromiseDate=2026-04-10","Include in current period 2026-04","TC-BRD-PS-01-01-019",High,Late-paid
TD-DAI-007,Dai-ichi,Policy,Already-reported (dedup),"PolicyNo=DAI-P007; Already in 2026-01; Try 2026-02","Excluded from 2026-02 (dedup)","TC-BRD-PS-01-01-020",High,Dedup
TD-DAI-008,Dai-ichi,SOA,Amounts column 50%,"Base Amount = 100,000","Amounts = 50,000","TC-BRD-PS-01-01-021",High,SOA Amounts
TD-DAI-009,Dai-ichi,SOA,First Year Premium 50%,"Base FYP = 100,000","FYP cession = 50,000","TC-BRD-PS-01-01-022",High,FYP
TD-DAI-010,Dai-ichi,SOA,Insurer Expenses 17%,"Base = 100,000","Insurer Expenses = 17,000","TC-BRD-PS-01-01-027",High,17%
TD-DAI-011,Dai-ichi,SOA,Reinsurer Expenses 8%,"Base = 100,000","Reinsurer Expenses = 8,000","TC-BRD-PS-01-01-028",High,8%
TD-GIB-001,Gibraltar,Member-Layer1,Member SA 3M Layer 1 only,"MemberID=GIB-M001; PolicyNo=GIB-P001; Age=30; SA Life=3,000,000; Premium Life=5,000; Extra=0","Layer 1 = 3,000,000; L2=0; L3=0; RI Premium Life = round(15% x 5000, 2) = 750.00; RI Commission Life = round(50% x 750, 2) = 375.00","TC-BRD-PS-02-02-001, TC-RIG-PS-04-04-001",High,Layer 1 baseline
