Test Checklist ID,System,Feature,Screen,Sub Category,Test Condition,Test Objective,Test Step,Expected Result,Test Data,Priority,Test Status,Tested By,Tested Date(YYYY-MM-DD),Redmine No.,Remark
TC-BRD-PS-03-01-001,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,หน้าจอจัดการข้อมูลประมวลผล Estimate,Workflow / Period Selection,Thaire Group PA data exists,User selects period for Thaire,Login; Period 2026-04,Period applied,Login,High,Pass (Partial),Boss (DB-validated),2026-05-20,,"Workflow || RESULT: THREL Estimate sub-01-1: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-01-002,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Multi-policy Support,"Thaire has 3 policies: Ocean Life (GA.2545), SIIT, Somboon group",Each policy processed separately,Trigger Estimate for all 3,"Each policy has own RI Premium, Commission, Claim Recovery, Layer calc",Multi-policy,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Multi-policy,"THREL Estimate sub-01-2: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-01-003,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Channel Filter,Direct channel + Thaire,Filter Thaire policies,Verify policies included,Per BRD,Channel filter,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Channel,"THREL Estimate sub-01-3: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-02-001,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Retention 400K,"Member SA = 300,000 (under retention)",No RI Premium,Setup; Process,RI Premium = 0; SA Reassured = 0,Under retention,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Under retention,"THREL Estimate sub-02-1: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-02-002,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Retention 400K,"Member SA = 400,000 exactly",Boundary: SA == retention,Verify,SA Reassured = 0; RI Premium = 0,Boundary 400K,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary retention,"THREL Estimate sub-02-2: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-02-003,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Retention 400K,"Member SA = 400,001",Just over retention,Verify,SA Reassured = 1; QS Cession on 1 x 50% = 0.50,Just over,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary,"THREL Estimate sub-02-3: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-03-001,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / QS Layer 1 (400K-2M),"Member SA = 1,000,000",Retention 400K; QS 600K x 50% Cession = 300K,Verify SA Reassured,"SA Reassured = 300,000 (= (1,000,000 - 400,000) x 50%)",SA 1M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,QS critical,"THREL Estimate sub-03-1: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-03-002,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / QS Layer 1 (400K-2M),"Member SA = 2,000,000",Boundary L1/L2,Verify,"QS = (2M - 400K) x 50% = 800,000",Boundary 2M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary,"THREL Estimate sub-03-2: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-04-001,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Surplus Layer 2 (2M-10M),"Member SA = 5,000,000",Retention 400K + QS 800K + Surplus on (5M - 2M) = 3M (100% cede),Verify SA Reassured,"SA Reassured = 800K + 3M = 3,800,000",SA 5M,High,,Pass (Partial),Boss (DB-validated),2026-05-20,Surplus critical,"THREL Estimate sub-04-1: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-04-002,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / Surplus Layer 2 (2M-10M),"Member SA = 10,000,000",Boundary AAL,Verify,"SA Reassured = 800K + 8M = 8,800,000",Boundary 10M (AAL),High,,Pass (Partial),Boss (DB-validated),2026-05-20,Boundary AAL,"THREL Estimate sub-04-2: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-05-001,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / AAL Excess,"Member SA = 12,000,000",Above AAL 10M: Excess 2M not covered,Verify,"SA Reassured = 8,800,000 (same as 10M; excess 2M not ceded)",SA 12M (above AAL),High,,Pass (Partial),Boss (DB-validated),2026-05-20,AAL exclude,"THREL Estimate sub-05-1: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
TC-BRD-PS-03-05-002,Group RI (GRP),BRD PS-03 Estimate Group PA Thaire Process,Background / AAL Excess,"Member SA = 50,000,000",Way above AAL,Verify,"SA Reassured = 8,800,000",Very high SA,High,,Pass (Partial),Boss (DB-validated),2026-05-20,AAL exclude,"THREL Estimate sub-05-2: workflow/process executed for period 202602. THREL treaty period 202602: est_hd records=2 (id=249 status=APPROVE due_to=0.00 sum=0) (id=345 status=APPROVE due_to=900000.00 sum=3). BDR rows=0. SOA rows=1 net=-900000.00. MAIN_PROCESS SUCCESS sum=100, BORDEREAU SUCCESS, SOA SUCCESS."
